amenities,price,minimum_nights,vacation_type
"[""mini fridge"", ""kitchen"", ""refrigerator"", ""fire extinguisher"", ""hot water kettle"", ""hangers"", ""smoke alarm"", ""long term stays allowed"", ""elevator"", ""shampoo"", ""tv"", ""dishes and silverware"", ""hair dryer"", ""air conditioning"", ""wifi"", ""bed linens"", ""shower gel""]",$464.00,1,short vacation
"[""air conditioning"", ""wifi"", ""long term stays allowed""]",$180.00,30,short accomodation
"[""long term stays allowed"", ""elevator"", ""washer"", ""kitchen"", ""air conditioning"", ""wifi"", ""tv with standard cable""]","$2,000.00",3,short vacation
"[""air conditioning"", ""wifi"", ""long term stays allowed"", ""kitchen""]",$180.00,30,short accomodation
"[""hot water"", ""lock on bedroom door"", ""long term stays allowed"", ""washer"", ""tv"", ""dryer"", ""kitchen"", ""air conditioning"", ""wifi""]",$180.00,30,short accomodation
"[""pets allowed"", ""smoking allowed"", ""patio or balcony"", ""kitchen"", ""refrigerator"", ""hot water"", ""wifi"", ""hangers"", ""oven"", ""heating"", ""long term stays allowed"", ""washer"", ""extra pillows and blankets"", ""bbq grill"", ""hair dryer"", ""air conditioning"", ""iron"", ""stove"", ""cooking basics"", ""tv with standard cable""]",$500.00,1,short vacation
"[""refrigerator"", ""backyard"", ""long term stays allowed"", ""dishes and silverware"", ""kitchen"", ""wifi""]",$280.00,1,short vacation
"[""long term stays allowed"", ""elevator"", ""shampoo"", ""hair dryer"", ""room-darkening shades"", ""bed linens"", ""free street parking"", ""refrigerator"", ""dishes and silverware"", ""kitchen"", ""microwave"", ""iron"", ""hot water"", ""paid parking off premises"", ""essentials"", ""tv"", ""air conditioning"", ""hot tub"", ""wifi"", ""ethernet connection"", ""hangers""]",$857.00,28,short accomodation
"[""paid parking on premises"", ""self check-in"", ""clothing storage"", ""first aid kit"", ""children\u2019s dinnerware"", ""long term stays allowed"", ""elevator"", ""shampoo"", ""hair dryer"", ""free parking on premises"", ""bed linens"", ""free street parking"", ""refrigerator"", ""park view"", ""coffee maker"", ""dishes and silverware"", ""dryer"", ""kitchen"", ""smart lock"", ""microwave"", ""exercise equipment"", ""iron"", ""private patio or balcony"", ""cooking basics"", ""heating"", ""free washer \u2013 in unit"", ""dishwasher"", ""private backyard \u2013 fully fenced"", ""hot water kettle"", ""hot water"", ""paid parking off premises"", ""essentials"", ""air conditioning"", ""harbor view"", ""dedicated workspace"", ""wifi"", ""city skyline view"", ""hangers"", ""65\"" hdtv with hbo max, apple tv, netflix, hulu, disney+, amazon prime video"", ""oven"", ""extra pillows and blankets"", ""fire extinguisher"", ""stove""]","$3,046.00",2,short vacation
"[""first aid kit"", ""long term stays allowed"", ""tv"", ""kitchen"", ""air conditioning"", ""hot tub"", ""wifi""]",$700.00,30,short accomodation
"[""fire extinguisher"", ""smoke alarm"", ""long term stays allowed"", ""essentials"", ""elevator"", ""tv"", ""shampoo"", ""hair dryer"", ""air conditioning"", ""wifi""]","$1,210.00",1,short vacation
"[""smoke alarm"", ""long term stays allowed"", ""essentials"", ""elevator"", ""tv"", ""shampoo"", ""fire extinguisher"", ""wifi""]",$968.00,1,short vacation
"[""self check-in"", ""long term stays allowed"", ""essentials"", ""keypad"", ""tv"", ""shampoo"", ""kitchen"", ""air conditioning"", ""wifi"", ""cooking basics"", ""heating""]",$378.00,60,long accomodation
"[""long term stays allowed"", ""tv"", ""kitchen"", ""air conditioning"", ""wifi""]",$180.00,30,short accomodation
"[""self check-in"", ""long term stays allowed"", ""essentials"", ""keypad"", ""tv"", ""shampoo"", ""kitchen"", ""air conditioning"", ""wifi"", ""cooking basics""]",$333.00,30,short accomodation
"[""refrigerator"", ""self check-in"", ""long term stays allowed"", ""essentials"", ""keypad"", ""tv"", ""shampoo"", ""dishes and silverware"", ""kitchen"", ""air conditioning"", ""wifi"", ""cooking basics"", ""heating""]",$468.00,30,short accomodation
"[""smoke alarm"", ""long term stays allowed"", ""essentials"", ""washer"", ""shampoo"", ""tv"", ""fire extinguisher"", ""air conditioning"", ""wifi"", ""heating""]","$1,323.00",1,short vacation
"[""long term stays allowed"", ""tv"", ""kitchen"", ""air conditioning"", ""wifi""]",$180.00,30,short accomodation
"[""long term stays allowed"", ""kitchen"", ""air conditioning"", ""wifi"", ""tv with standard cable""]",$180.00,30,short accomodation
"[""air conditioning"", ""long term stays allowed"", ""kitchen""]",$180.00,31,long accomodation
"[""air conditioning"", ""tv"", ""long term stays allowed"", ""kitchen""]",$180.00,30,short accomodation
"[""first aid kit"", ""carbon monoxide alarm"", ""long term stays allowed"", ""elevator"", ""shampoo"", ""luggage dropoff allowed"", ""hair dryer"", ""bed linens"", ""free street parking"", ""refrigerator"", ""lock on bedroom door"", ""coffee maker"", ""dishes and silverware"", ""kitchen"", ""host greets you"", ""iron"", ""heating"", ""hot water"", ""essentials"", ""tv"", ""air conditioning"", ""dedicated workspace"", ""wifi"", ""hangers"", ""smoke alarm"", ""extra pillows and blankets"", ""fire extinguisher""]",$480.00,90,long accomodation
"[""long term stays allowed"", ""washer"", ""tv"", ""kitchen"", ""air conditioning"", ""wifi""]",$130.00,30,short accomodation
"[""long term stays allowed"", ""washer"", ""tv"", ""kitchen"", ""air conditioning"", ""wifi""]",$180.00,29,short accomodation
"[""long term stays allowed""]",$180.00,29,short accomodation
"[""long term stays allowed"", ""washer"", ""kitchen"", ""air conditioning"", ""wifi""]",$180.00,30,short accomodation
"[""first aid kit"", ""carbon monoxide alarm"", ""long term stays allowed"", ""elevator"", ""shampoo"", ""luggage dropoff allowed"", ""hair dryer"", ""bed linens"", ""lock on bedroom door"", ""kitchen"", ""host greets you"", ""iron"", ""heating"", ""hot water"", ""essentials"", ""tv"", ""air conditioning"", ""dedicated workspace"", ""wifi"", ""hangers"", ""smoke alarm"", ""extra pillows and blankets"", ""fire extinguisher""]",$350.00,90,long accomodation
"[""free street parking"", ""kitchen"", ""hot water"", ""fire extinguisher"", ""hangers"", ""wifi"", ""smoke alarm"", ""carbon monoxide alarm"", ""essentials"", ""long term stays allowed"", ""elevator"", ""shampoo"", ""tv"", ""luggage dropoff allowed"", ""hair dryer"", ""air conditioning"", ""dedicated workspace"", ""iron"", ""host greets you"", ""heating""]",$600.00,90,long accomodation
"[""first aid kit"", ""carbon monoxide alarm"", ""long term stays allowed"", ""elevator"", ""shampoo"", ""luggage dropoff allowed"", ""hair dryer"", ""bed linens"", ""free street parking"", ""refrigerator"", ""lock on bedroom door"", ""coffee maker"", ""dishes and silverware"", ""kitchen"", ""host greets you"", ""microwave"", ""iron"", ""heating"", ""hot water"", ""essentials"", ""tv"", ""air conditioning"", ""dedicated workspace"", ""wifi"", ""hangers"", ""smoke alarm"", ""extra pillows and blankets"", ""fire extinguisher""]",$480.00,90,long accomodation
