amenities,price,minimum_nights,vacation_type
"[""self check-in"", ""ceiling fan"", ""long term stays allowed"", ""ac - split type ductless system"", ""shampoo"", ""body soap"", ""hair dryer"", ""room-darkening shades"", ""lockbox"", ""bed linens"", ""refrigerator"", ""toaster"", ""coffee maker"", ""dishes and silverware"", ""paid parking lot off premises"", ""kitchen"", ""microwave"", ""private patio or balcony"", ""cooking basics"", ""heating"", ""free washer \u2013 in unit"", ""shower gel"", ""hot water kettle"", ""hot water"", ""essentials"", ""laundromat nearby"", ""tv"", ""dedicated workspace"", ""wifi"", ""free dryer \u2013 in unit"", ""wine glasses"", ""cleaning products"", ""pets allowed"", ""private entrance"", ""hangers"", ""dining table"", ""oven"", ""courtyard view"", ""clothing storage: closet""]","$1,100.00",5,short vacation
"[""private entrance"", ""refrigerator"", ""hot water"", ""fire extinguisher"", ""hangers"", ""lock on bedroom door"", ""smoke alarm"", ""wifi"", ""long term stays allowed"", ""essentials"", ""shampoo"", ""private living room"", ""luggage dropoff allowed"", ""hair dryer"", ""air conditioning"", ""microwave"", ""iron"", ""bed linens"", ""shower gel""]",$450.00,2,short vacation
"[""breakfast"", ""long term stays allowed"", ""essentials"", ""coffee maker"", ""tv"", ""hair dryer"", ""gym"", ""wifi"", ""bed linens""]","$1,230.00",1,short vacation
"[""breakfast"", ""long term stays allowed"", ""essentials"", ""coffee maker"", ""tv"", ""hair dryer"", ""gym"", ""wifi"", ""bed linens""]","$1,830.00",1,short vacation
"[""breakfast"", ""long term stays allowed"", ""essentials"", ""coffee maker"", ""tv"", ""hair dryer"", ""gym"", ""wifi"", ""bed linens""]","$2,080.00",1,short vacation
"[""breakfast"", ""smoke alarm"", ""long term stays allowed"", ""essentials"", ""coffee maker"", ""tv"", ""hair dryer"", ""gym"", ""wifi"", ""bed linens""]","$1,730.00",1,short vacation
"[""kitchen"", ""private entrance"", ""hot water"", ""fire extinguisher"", ""wifi"", ""backyard"", ""smoke alarm"", ""carbon monoxide alarm"", ""essentials"", ""long term stays allowed"", ""elevator"", ""washer"", ""shampoo"", ""tv"", ""dryer"", ""hair dryer"", ""air conditioning"", ""iron"", ""heating""]",$900.00,1,short vacation
"[""private entrance"", ""refrigerator"", ""hot water"", ""fire extinguisher"", ""hangers"", ""lock on bedroom door"", ""smoke alarm"", ""wifi"", ""long term stays allowed"", ""essentials"", ""shampoo"", ""private living room"", ""luggage dropoff allowed"", ""hair dryer"", ""air conditioning"", ""microwave"", ""iron"", ""bed linens"", ""shower gel""]",$295.00,2,short vacation
"[""private entrance"", ""refrigerator"", ""hot water"", ""fire extinguisher"", ""hangers"", ""lock on bedroom door"", ""smoke alarm"", ""wifi"", ""long term stays allowed"", ""essentials"", ""shampoo"", ""private living room"", ""luggage dropoff allowed"", ""hair dryer"", ""air conditioning"", ""microwave"", ""iron"", ""bed linens"", ""shower gel""]",$395.00,2,short vacation
"[""private entrance"", ""refrigerator"", ""hot water"", ""fire extinguisher"", ""hangers"", ""lock on bedroom door"", ""smoke alarm"", ""wifi"", ""long term stays allowed"", ""essentials"", ""shampoo"", ""private living room"", ""luggage dropoff allowed"", ""hair dryer"", ""air conditioning"", ""microwave"", ""iron"", ""bed linens"", ""shower gel""]",$450.00,2,short vacation
"[""private entrance"", ""refrigerator"", ""hot water"", ""fire extinguisher"", ""hangers"", ""lock on bedroom door"", ""smoke alarm"", ""wifi"", ""long term stays allowed"", ""essentials"", ""shampoo"", ""private living room"", ""luggage dropoff allowed"", ""hair dryer"", ""air conditioning"", ""microwave"", ""iron"", ""bed linens"", ""shower gel""]",$595.00,2,short vacation
"[""private entrance"", ""refrigerator"", ""hot water"", ""fire extinguisher"", ""hangers"", ""lock on bedroom door"", ""smoke alarm"", ""wifi"", ""long term stays allowed"", ""essentials"", ""shampoo"", ""private living room"", ""luggage dropoff allowed"", ""hair dryer"", ""air conditioning"", ""microwave"", ""iron"", ""bed linens"", ""shower gel""]",$800.00,2,short vacation
"[""private entrance"", ""refrigerator"", ""hot water"", ""fire extinguisher"", ""hangers"", ""lock on bedroom door"", ""smoke alarm"", ""wifi"", ""long term stays allowed"", ""essentials"", ""shampoo"", ""private living room"", ""luggage dropoff allowed"", ""hair dryer"", ""air conditioning"", ""microwave"", ""iron"", ""bed linens"", ""shower gel""]",$700.00,1,short vacation
"[""indoor fireplace"", ""breakfast"", ""first aid kit"", ""carbon monoxide alarm"", ""long term stays allowed"", ""shampoo"", ""hair dryer"", ""gym"", ""free parking on premises"", ""kitchen"", ""iron"", ""heating"", ""essentials"", ""washer"", ""tv"", ""pool"", ""air conditioning"", ""wifi"", ""private entrance"", ""hangers"", ""smoke alarm"", ""fire extinguisher""]",$395.00,31,long accomodation
"[""kitchen"", ""refrigerator"", ""private entrance"", ""wifi"", ""hangers"", ""long term stays allowed"", ""essentials"", ""fire extinguisher"", ""air conditioning"", ""microwave"", ""iron"", ""tv with standard cable""]",$450.00,30,short accomodation
"[""clothing storage"", ""long term stays allowed"", ""bed linens"", ""refrigerator"", ""dishes and silverware"", ""kitchen"", ""microwave"", ""iron"", ""cooking basics"", ""hot water kettle"", ""hot water"", ""essentials"", ""cleaning available during stay"", ""air conditioning"", ""wifi"", ""tv with standard cable"", ""patio or balcony"", ""bathtub"", ""hangers"", ""extra pillows and blankets"", ""fire extinguisher"", ""stove""]",$610.00,30,short accomodation
"[""breakfast"", ""kitchen"", ""lock on bedroom door"", ""wifi"", ""hangers"", ""long term stays allowed"", ""essentials"", ""washer"", ""shampoo"", ""tv"", ""private living room"", ""hair dryer"", ""air conditioning"", ""iron"", ""heating""]",$768.00,1,short vacation
"[""breakfast"", ""kitchen"", ""lock on bedroom door"", ""wifi"", ""hangers"", ""long term stays allowed"", ""essentials"", ""washer"", ""shampoo"", ""tv"", ""private living room"", ""hair dryer"", ""air conditioning"", ""iron"", ""heating""]",$880.00,1,short vacation
"[""breakfast"", ""kitchen"", ""lock on bedroom door"", ""wifi"", ""hangers"", ""long term stays allowed"", ""essentials"", ""washer"", ""shampoo"", ""tv"", ""private living room"", ""hair dryer"", ""air conditioning"", ""iron"", ""heating""]",$880.00,1,short vacation
"[""breakfast"", ""clothing storage"", ""long term stays allowed"", ""shampoo"", ""luggage dropoff allowed"", ""rice maker"", ""hair dryer"", ""private living room"", ""room-darkening shades"", ""bed linens"", ""high chair"", ""refrigerator"", ""lock on bedroom door"", ""toaster"", ""dishes and silverware"", ""dryer"", ""kitchen"", ""bread maker"", ""iron"", ""cooking basics"", ""heating"", ""shower gel"", ""hot water kettle"", ""hot water"", ""freezer"", ""essentials"", ""washer"", ""tv"", ""laundromat nearby"", ""air conditioning"", ""portable fans"", ""wifi"", ""wine glasses"", ""patio or balcony"", ""private entrance"", ""ethernet connection"", ""hangers"", ""dining table"", ""drying rack for clothing"", ""stove""]","$2,220.00",1,short vacation
"[""kitchen"", ""private entrance"", ""hangers"", ""smoke alarm"", ""oven"", ""long term stays allowed"", ""tv"", ""fire extinguisher"", ""air conditioning"", ""microwave"", ""iron"", ""stove"", ""cooking basics"", ""wifi""]",$560.00,28,short accomodation
"[""breakfast"", ""long term stays allowed"", ""essentials"", ""coffee maker"", ""tv"", ""hair dryer"", ""gym"", ""wifi"", ""bed linens""]","$1,430.00",1,short vacation
"[""breakfast"", ""long term stays allowed"", ""essentials"", ""coffee maker"", ""tv"", ""hair dryer"", ""gym"", ""wifi"", ""bed linens""]","$1,580.00",1,short vacation
"[""self check-in"", ""first aid kit"", ""carbon monoxide alarm"", ""long term stays allowed"", ""elevator"", ""shampoo"", ""luggage dropoff allowed"", ""hair dryer"", ""pocket wifi"", ""bed linens"", ""refrigerator"", ""baby bath"", ""coffee maker"", ""dishes and silverware"", ""kitchen"", ""microwave"", ""iron"", ""mini fridge"", ""hot water"", ""paid parking off premises"", ""essentials"", ""washer"", ""laundromat nearby"", ""air conditioning"", ""wifi"", ""wine glasses"", ""tv with standard cable"", ""private entrance"", ""hangers"", ""dining table"", ""smoke alarm"", ""keypad"", ""extra pillows and blankets"", ""stove""]","$1,481.00",1,short vacation
"[""fire extinguisher"", ""smoke alarm"", ""carbon monoxide alarm"", ""essentials"", ""long term stays allowed"", ""washer"", ""tv"", ""hair dryer"", ""air conditioning"", ""free parking on premises"", ""wifi""]","$1,559.00",1,short vacation
"[""kitchen"", ""refrigerator"", ""hot water"", ""wifi"", ""private entrance"", ""smoke alarm"", ""stove"", ""long term stays allowed"", ""dishes and silverware"", ""extra pillows and blankets"", ""fire extinguisher"", ""air conditioning"", ""microwave"", ""iron"", ""bed linens"", ""cooking basics"", ""tv with standard cable""]",$500.00,30,short accomodation
"[""long term stays allowed"", ""elevator"", ""shampoo"", ""luggage dropoff allowed"", ""hair dryer"", ""gym"", ""pocket wifi"", ""bed linens"", ""refrigerator"", ""coffee maker"", ""dryer"", ""microwave"", ""iron"", ""heating"", ""shower gel"", ""hot water"", ""essentials"", ""washer"", ""air conditioning"", ""wifi"", ""tv with standard cable"", ""hangers"", ""smoke alarm"", ""fire extinguisher""]","$2,019.00",1,short vacation
"[""long term stays allowed"", ""elevator"", ""shampoo"", ""hair dryer"", ""gym"", ""pocket wifi"", ""bed linens"", ""refrigerator"", ""coffee maker"", ""dishes and silverware"", ""dryer"", ""kitchen"", ""microwave"", ""iron"", ""cooking basics"", ""heating"", ""shower gel"", ""hot water"", ""essentials"", ""washer"", ""air conditioning"", ""wifi"", ""tv with standard cable"", ""hangers"", ""smoke alarm"", ""extra pillows and blankets"", ""fire extinguisher"", ""stove""]","$8,521.00",1,short vacation
"[""long term stays allowed"", ""elevator"", ""shampoo"", ""luggage dropoff allowed"", ""hair dryer"", ""gym"", ""pocket wifi"", ""bed linens"", ""refrigerator"", ""coffee maker"", ""dryer"", ""iron"", ""crib"", ""heating"", ""shower gel"", ""hot water"", ""essentials"", ""washer"", ""air conditioning"", ""wifi"", ""tv with standard cable"", ""hangers"", ""smoke alarm"", ""fire extinguisher""]","$1,568.00",1,short vacation
"[""long term stays allowed"", ""shampoo"", ""hair dryer"", ""gym"", ""pocket wifi"", ""bed linens"", ""refrigerator"", ""coffee maker"", ""dryer"", ""iron"", ""heating"", ""shower gel"", ""hot water"", ""essentials"", ""washer"", ""air conditioning"", ""wifi"", ""tv with standard cable"", ""hangers"", ""smoke alarm"", ""fire extinguisher""]","$1,788.00",1,short vacation
"[""refrigerator"", ""hot water"", ""fire extinguisher"", ""wifi"", ""smoke alarm"", ""heating"", ""essentials"", ""gym"", ""coffee maker"", ""elevator"", ""shampoo"", ""long term stays allowed"", ""hair dryer"", ""air conditioning"", ""iron"", ""bed linens"", ""tv with standard cable""]","$2,094.00",1,short vacation
"[""kitchen"", ""hot water"", ""lock on bedroom door"", ""hangers"", ""smoke alarm"", ""long term stays allowed"", ""essentials"", ""elevator"", ""washer"", ""shampoo"", ""tv"", ""hair dryer"", ""air conditioning"", ""wifi""]",$350.00,28,short accomodation
"[""lock on bedroom door"", ""long term stays allowed"", ""washer"", ""tv"", ""fire extinguisher"", ""air conditioning"", ""wifi""]",$340.00,28,short accomodation
"[""private entrance"", ""hot water"", ""shared hot tub"", ""pool"", ""ac - split type ductless system"", ""long term stays allowed"", ""washer"", ""kitchen"", ""hdtv"", ""free dryer \u2013 in unit"", ""shared gym in building""]","$1,200.00",60,long accomodation
"[""breakfast"", ""self check-in"", ""long term stays allowed"", ""elevator"", ""shampoo"", ""luggage dropoff allowed"", ""hair dryer"", ""bed linens"", ""high chair"", ""refrigerator"", ""baby bath"", ""dishes and silverware"", ""dryer"", ""kitchen"", ""microwave"", ""iron"", ""cooking basics"", ""heating"", ""hot water"", ""babysitter recommendations"", ""essentials"", ""washer"", ""air conditioning"", ""wifi"", ""tv with standard cable"", ""patio or balcony"", ""private entrance"", ""ethernet connection"", ""hangers"", ""oven"", ""keypad"", ""extra pillows and blankets"", ""stove""]","$5,298.00",1,short vacation
"[""breakfast"", ""kitchen"", ""refrigerator"", ""private entrance"", ""wifi"", ""hangers"", ""long term stays allowed"", ""essentials"", ""washer"", ""shampoo"", ""tv"", ""dishes and silverware"", ""hair dryer"", ""air conditioning"", ""iron"", ""stove"", ""cooking basics"", ""heating""]",$880.00,1,short vacation
"[""hangers"", ""security cameras on property"", ""long term stays allowed"", ""essentials"", ""shampoo"", ""tv"", ""hair dryer"", ""air conditioning"", ""iron"", ""host greets you"", ""wifi""]",$319.00,30,short accomodation
"[""children\u2019s books and toys"", ""self check-in"", ""first aid kit"", ""long term stays allowed"", ""children\u2019s dinnerware"", ""elevator"", ""shampoo"", ""rice maker"", ""hair dryer"", ""room-darkening shades"", ""bed linens"", ""high chair"", ""refrigerator"", ""toaster"", ""baby bath"", ""pack \u2019n play/travel crib"", ""40\"" hdtv with netflix, standard cable"", ""coffee maker"", ""dishes and silverware"", ""kitchen"", ""smart lock"", ""microwave"", ""window guards"", ""iron"", ""crib"", ""shower gel"", ""free washer \u2013 in unit"", ""heating"", ""cooking basics"", ""hot water kettle"", ""hot water"", ""babysitter recommendations"", ""window ac unit"", ""paid parking off premises"", ""freezer"", ""single level home"", ""essentials"", ""wifi"", ""wine glasses"", ""cleaning products"", ""pets allowed"", ""private entrance"", ""ethernet connection"", ""hangers"", ""conditioner"", ""dining table"", ""drying rack for clothing"", ""bluetooth sound system"", ""extra pillows and blankets"", ""clothing storage: closet"", ""stove""]","$1,200.00",30,short accomodation
"[""indoor fireplace"", ""first aid kit"", ""carbon monoxide alarm"", ""long term stays allowed"", ""elevator"", ""shampoo"", ""private living room"", ""hair dryer"", ""lock on bedroom door"", ""dryer"", ""kitchen"", ""smoking allowed"", ""essentials"", ""washer"", ""tv"", ""air conditioning"", ""wifi"", ""private entrance"", ""hangers"", ""smoke alarm"", ""fire extinguisher""]",$320.00,28,short accomodation
"[""private entrance"", ""lock on bedroom door"", ""hangers"", ""long term stays allowed"", ""essentials"", ""shampoo"", ""tv"", ""hair dryer"", ""air conditioning"", ""wifi"", ""smoking allowed""]",$280.00,28,short accomodation
"[""private entrance"", ""refrigerator"", ""hot water"", ""long term stays allowed"", ""washer"", ""kitchen"", ""air conditioning"", ""microwave"", ""wifi"", ""stove"", ""cooking basics""]",$130.00,29,short accomodation
"[""pets allowed"", ""breakfast"", ""private entrance"", ""hangers"", ""long term stays allowed"", ""washer"", ""kitchen"", ""air conditioning"", ""heating""]","$1,400.00",14,long vacation
"[""fire extinguisher"", ""lock on bedroom door"", ""security cameras on property"", ""smoke alarm"", ""long term stays allowed"", ""essentials"", ""tv"", ""shampoo"", ""hair dryer"", ""air conditioning"", ""wifi""]",$510.00,1,short vacation
"[""hot water"", ""fire extinguisher"", ""hangers"", ""security cameras on property"", ""smoke alarm"", ""lock on bedroom door"", ""long term stays allowed"", ""essentials"", ""elevator"", ""shampoo"", ""tv"", ""hair dryer"", ""air conditioning"", ""wifi""]",$500.00,1,short vacation
"[""kitchen"", ""private entrance"", ""hot water"", ""hangers"", ""smoke alarm"", ""long term stays allowed"", ""essentials"", ""washer"", ""shampoo"", ""tv"", ""hair dryer"", ""air conditioning"", ""iron"", ""wifi""]",$801.00,1,short vacation
"[""kitchen"", ""refrigerator"", ""hot water"", ""hangers"", ""portable heater"", ""long term stays allowed"", ""essentials"", ""elevator"", ""washer"", ""shampoo"", ""tv"", ""hair dryer"", ""air conditioning"", ""iron"", ""wifi""]",$680.00,14,long vacation
"[""pets allowed"", ""breakfast"", ""smoke alarm"", ""first aid kit"", ""gym"", ""essentials"", ""long term stays allowed"", ""washer"", ""shampoo"", ""tv"", ""dryer"", ""air conditioning"", ""free parking on premises"", ""wifi"", ""heating""]","$1,483.00",1,short vacation
"[""breakfast"", ""hangers"", ""essentials"", ""washer"", ""shampoo"", ""tv"", ""pool"", ""air conditioning"", ""free parking on premises"", ""wifi""]","$1,801.00",1,short vacation
"[""breakfast"", ""hangers"", ""essentials"", ""washer"", ""shampoo"", ""tv"", ""pool"", ""air conditioning"", ""free parking on premises"", ""wifi""]","$1,855.00",1,short vacation
"[""first aid kit"", ""long term stays allowed"", ""elevator"", ""private living room"", ""gym"", ""hair dryer"", ""dryer"", ""kitchen"", ""iron"", ""heating"", ""hot water"", ""essentials"", ""washer"", ""tv"", ""air conditioning"", ""hot tub"", ""wifi"", ""private entrance"", ""hangers"", ""smoke alarm"", ""fire extinguisher""]",$900.00,30,short accomodation
"[""smoking allowed"", ""kitchen"", ""private entrance"", ""hot water"", ""long term stays allowed"", ""essentials"", ""fire extinguisher"", ""air conditioning"", ""wifi"", ""cooking basics"", ""heating""]",$228.00,90,long accomodation
"[""self check-in"", ""first aid kit"", ""long term stays allowed"", ""shampoo"", ""hair dryer"", ""bed linens"", ""refrigerator"", ""dishes and silverware"", ""kitchen"", ""microwave"", ""cooking basics"", ""shower gel"", ""hot water"", ""security cameras on property"", ""essentials"", ""air conditioning"", ""wifi"", ""private entrance"", ""hangers"", ""smoke alarm"", ""keypad"", ""fire extinguisher""]","$1,155.00",3,short vacation
"[""self check-in"", ""first aid kit"", ""long term stays allowed"", ""shampoo"", ""private living room"", ""hair dryer"", ""bed linens"", ""refrigerator"", ""lock on bedroom door"", ""dishes and silverware"", ""kitchen"", ""microwave"", ""cooking basics"", ""shower gel"", ""hot water"", ""security cameras on property"", ""essentials"", ""air conditioning"", ""wifi"", ""private entrance"", ""hangers"", ""smoke alarm"", ""keypad"", ""fire extinguisher""]",$424.00,3,short vacation
"[""kitchen"", ""private entrance"", ""fire extinguisher"", ""wifi"", ""hangers"", ""self check-in"", ""building staff"", ""gym"", ""essentials"", ""long term stays allowed"", ""washer"", ""tv"", ""dryer"", ""hair dryer"", ""air conditioning"", ""iron"", ""heating""]",$944.00,28,short accomodation
"[""kitchen"", ""private entrance"", ""fire extinguisher"", ""wifi"", ""hangers"", ""self check-in"", ""building staff"", ""gym"", ""essentials"", ""long term stays allowed"", ""washer"", ""tv"", ""dryer"", ""hair dryer"", ""air conditioning"", ""iron"", ""heating""]",$987.00,28,short accomodation
"[""kitchen"", ""private entrance"", ""fire extinguisher"", ""wifi"", ""hangers"", ""self check-in"", ""building staff"", ""gym"", ""essentials"", ""long term stays allowed"", ""washer"", ""tv"", ""dryer"", ""hair dryer"", ""air conditioning"", ""iron"", ""heating""]",$867.00,28,short accomodation
"[""kitchen"", ""building staff"", ""fire extinguisher"", ""self check-in"", ""hangers"", ""first aid kit"", ""long term stays allowed"", ""essentials"", ""elevator"", ""washer"", ""tv"", ""hair dryer"", ""air conditioning"", ""iron"", ""wifi""]",$880.00,28,short accomodation
"[""induction stove"", ""first aid kit"", ""long term stays allowed"", ""children\u2019s dinnerware"", ""ac - split type ductless system"", ""shampoo"", ""rice maker"", ""hair dryer"", ""paid parking garage on premises"", ""room-darkening shades"", ""bed linens"", ""high chair"", ""refrigerator"", ""toaster"", ""baby bath"", ""hdtv with netflix, standard cable"", ""pack \u2019n play/travel crib"", ""coffee maker"", ""dishes and silverware"", ""kitchen"", ""microwave"", ""outlet covers"", ""shared pool"", ""iron"", ""private patio or balcony"", ""crib"", ""shower gel"", ""free washer \u2013 in unit"", ""heating"", ""cooking basics"", ""hot water kettle"", ""hot water"", ""paid parking off premises"", ""window ac unit"", ""single level home"", ""freezer"", ""essentials"", ""laundromat nearby"", ""free dryer \u2013 in unit"", ""wifi"", ""wine glasses"", ""shared gym in building"", ""cleaning products"", ""pets allowed"", ""private entrance"", ""ethernet connection"", ""hangers"", ""conditioner"", ""dining table"", ""drying rack for clothing"", ""bluetooth sound system"", ""extra pillows and blankets"", ""clothing storage: closet"", ""shared sauna"", ""fire extinguisher""]","$1,200.00",30,short accomodation
"[""hangers"", ""security cameras on property"", ""long term stays allowed"", ""essentials"", ""shampoo"", ""tv"", ""hair dryer"", ""air conditioning"", ""iron"", ""host greets you"", ""wifi""]",$290.00,30,short accomodation
"[""patio or balcony"", ""breakfast"", ""refrigerator"", ""backyard"", ""long term stays allowed"", ""essentials"", ""elevator"", ""hair dryer"", ""air conditioning"", ""iron"", ""tv with standard cable""]","$1,800.00",1,short vacation
"[""patio or balcony"", ""breakfast"", ""refrigerator"", ""backyard"", ""long term stays allowed"", ""essentials"", ""elevator"", ""hair dryer"", ""air conditioning"", ""iron"", ""tv with standard cable""]","$2,000.00",1,short vacation
"[""patio or balcony"", ""building staff"", ""refrigerator"", ""hot water"", ""wifi"", ""backyard"", ""self check-in"", ""smoke alarm"", ""heating"", ""essentials"", ""long term stays allowed"", ""elevator"", ""shampoo"", ""hair dryer"", ""air conditioning"", ""iron"", ""tv with standard cable"", ""shower gel""]","$2,300.00",1,short vacation
"[""hot water"", ""lock on bedroom door"", ""smoke alarm"", ""long term stays allowed"", ""tv"", ""fire extinguisher"", ""air conditioning"", ""wifi""]",$388.00,9,long vacation
"[""kitchen"", ""hot water"", ""lock on bedroom door"", ""hangers"", ""smoke alarm"", ""long term stays allowed"", ""essentials"", ""elevator"", ""washer"", ""shampoo"", ""tv"", ""hair dryer"", ""air conditioning"", ""wifi""]",$380.00,28,short accomodation
"[""hangers"", ""long term stays allowed"", ""washer"", ""kitchen"", ""wifi""]",$180.00,29,short accomodation
"[""pets allowed"", ""waterfront"", ""private entrance"", ""hot water"", ""hangers"", ""long term stays allowed"", ""essentials"", ""washer"", ""extra pillows and blankets"", ""cleaning available during stay"", ""luggage dropoff allowed"", ""dryer"", ""kitchen"", ""air conditioning"", ""beach access \u2013 beachfront"", ""wifi"", ""bed linens"", ""smoking allowed"", ""tv with standard cable""]",$490.00,5,short vacation
"[""kitchen"", ""hot water"", ""smoke alarm"", ""first aid kit"", ""carbon monoxide alarm"", ""long term stays allowed"", ""elevator"", ""washer"", ""tv"", ""cleaning available during stay"", ""fire extinguisher"", ""air conditioning"", ""wifi"", ""city skyline view""]",$700.00,3,short vacation
"[""hangers"", ""long term stays allowed"", ""essentials"", ""shampoo"", ""tv"", ""hair dryer"", ""air conditioning"", ""iron"", ""wifi""]",$380.00,3,short vacation
"[""self check-in"", ""long term stays allowed"", ""elevator"", ""shampoo"", ""hair dryer"", ""bed linens"", ""refrigerator"", ""dishes and silverware"", ""kitchen"", ""microwave"", ""iron"", ""cooking basics"", ""heating"", ""shower gel"", ""hot water"", ""paid parking off premises"", ""essentials"", ""tv"", ""air conditioning"", ""wifi"", ""private entrance"", ""hangers"", ""keypad""]",$400.00,28,short accomodation
"[""kitchen"", ""refrigerator"", ""fire extinguisher"", ""wifi"", ""smoke alarm"", ""gym"", ""essentials"", ""long term stays allowed"", ""washer"", ""shampoo"", ""tv"", ""dryer"", ""hair dryer"", ""air conditioning"", ""iron"", ""heating""]","$2,200.00",1,short vacation
"[""pets allowed"", ""long term stays allowed""]",$1.00,300,long rentals
"[""kitchen"", ""private entrance"", ""fire extinguisher"", ""lock on bedroom door"", ""hangers"", ""long term stays allowed"", ""essentials"", ""elevator"", ""washer"", ""shampoo"", ""tv"", ""hair dryer"", ""air conditioning"", ""wifi"", ""smoking allowed""]",$230.00,28,short accomodation
"[""paid parking on premises"", ""self check-in"", ""carbon monoxide alarm"", ""long term stays allowed"", ""elevator"", ""shampoo"", ""beach access \u2013 beachfront"", ""hair dryer"", ""lockbox"", ""bed linens"", ""free street parking"", ""refrigerator"", ""dishes and silverware"", ""kitchen"", ""window guards"", ""table corner guards"", ""cooking basics"", ""heating"", ""shower gel"", ""hot water"", ""paid parking off premises"", ""single level home"", ""essentials"", ""washer"", ""tv"", ""air conditioning"", ""wifi"", ""hangers"", ""smoke alarm"", ""oven"", ""stove""]",$802.00,1,short vacation
"[""children\u2019s books and toys"", ""self check-in"", ""first aid kit"", ""long term stays allowed"", ""ac - split type ductless system"", ""elevator"", ""shampoo"", ""hair dryer"", ""pocket wifi"", ""bed linens"", ""high chair"", ""refrigerator"", ""hdtv with netflix, standard cable"", ""pack \u2019n play/travel crib"", ""coffee maker"", ""dishes and silverware"", ""dryer"", ""kitchen"", ""smart lock"", ""iron"", ""crib"", ""heating"", ""free washer \u2013 in unit"", ""shower gel"", ""cooking basics"", ""hot water"", ""paid parking off premises"", ""window ac unit"", ""essentials"", ""wifi"", ""pets allowed"", ""private entrance"", ""ethernet connection"", ""hangers"", ""extra pillows and blankets"", ""fire extinguisher""]","$1,000.00",30,short accomodation
"[""long term stays allowed"", ""ac - split type ductless system"", ""shampoo"", ""hair dryer"", ""bed linens"", ""refrigerator"", ""toaster"", ""free dryer \u2013 in building"", ""coffee maker"", ""dishes and silverware"", ""kitchen"", ""host greets you"", ""microwave"", ""private patio or balcony"", ""cooking basics"", ""shower gel"", ""free washer \u2013 in unit"", ""hot water kettle"", ""outdoor furniture"", ""hot water"", ""essentials"", ""portable fans"", ""wine glasses"", ""cleaning products"", ""pets allowed"", ""private entrance"", ""dining table"", ""portable heater"", ""outdoor dining area"", ""beach access"", ""fire extinguisher"", ""stove""]","$1,700.00",2,short vacation
"[""private entrance"", ""lock on bedroom door"", ""hangers"", ""smoke alarm"", ""long term stays allowed"", ""essentials"", ""shampoo"", ""tv"", ""hair dryer"", ""air conditioning"", ""wifi""]","$6,789.00",1,short vacation
"[""private entrance"", ""lock on bedroom door"", ""hangers"", ""smoke alarm"", ""carbon monoxide alarm"", ""essentials"", ""long term stays allowed"", ""shampoo"", ""tv"", ""hair dryer"", ""air conditioning"", ""wifi""]","$6,789.00",1,short vacation
"[""paid parking off premises"", ""smoke alarm"", ""long term stays allowed"", ""essentials"", ""elevator"", ""air conditioning"", ""host greets you""]",$300.00,28,short accomodation
"[""first aid kit"", ""long term stays allowed"", ""resort access"", ""elevator"", ""shampoo"", ""body soap"", ""hair dryer"", ""bed linens"", ""free street parking"", ""sea view"", ""refrigerator"", ""toaster"", ""bay view"", ""dishes and silverware"", ""kitchen"", ""microwave"", ""public or shared beach access"", ""iron"", ""private patio or balcony"", ""cooking basics"", ""shower gel"", ""coffee maker: nespresso"", ""electric stove"", ""hot water kettle"", ""books and reading material"", ""hot water"", ""42\"" hdtv with netflix"", ""waterfront"", ""security cameras on property"", ""essentials"", ""washer"", ""laundromat nearby"", ""air conditioning"", ""dedicated workspace"", ""wifi"", ""wine glasses"", ""cleaning products"", ""private entrance"", ""bathtub"", ""hangers"", ""conditioner"", ""smoke alarm"", ""extra pillows and blankets"", ""clothing storage: closet"", ""ocean view"", ""stainless steel oven""]","$1,929.00",2,short vacation
"[""long term stays allowed"", ""ac - split type ductless system"", ""elevator"", ""shampoo"", ""body soap"", ""shared backyard \u2013 fully fenced"", ""rice maker"", ""hair dryer"", ""gym"", ""room-darkening shades"", ""bed linens"", ""refrigerator"", ""dishes and silverware"", ""kitchen"", ""microwave"", ""heating - split type ductless system"", ""private patio or balcony"", ""cooking basics"", ""shower gel"", ""free washer \u2013 in unit"", ""hot water kettle"", ""outdoor furniture"", ""hot water"", ""paid parking off premises"", ""freezer"", ""essentials"", ""laundromat nearby"", ""tv"", ""dedicated workspace"", ""wifi"", ""free dryer \u2013 in unit"", ""wine glasses"", ""cleaning products"", ""private entrance"", ""hangers"", ""conditioner"", ""smoke alarm"", ""oven"", ""outdoor dining area"", ""clothing storage: closet"", ""bbq grill"", ""stove""]",$750.00,30,short accomodation
"[""private entrance"", ""refrigerator"", ""wifi"", ""hangers"", ""oven"", ""heating"", ""essentials"", ""stove"", ""coffee maker"", ""washer"", ""shampoo"", ""tv"", ""dishes and silverware"", ""long term stays allowed"", ""dryer"", ""kitchen"", ""air conditioning"", ""iron"", ""bed linens"", ""shower gel""]","$1,300.00",5,short vacation
