room_type,bathrooms_text,bedrooms,price
Private room,1 private bath,1.0,"$1,000.00"
Private room,1 private bath,1.0,$319.00
Private room,1 private bath,1.0,$500.00
Private room,1 private bath,1.0,$711.00
Entire home/apt,1.5 baths,,$824.00
Private room,1 bath,1.0,$357.00
Private room,1 bath,1.0,$450.00
Private room,1 bath,1.0,$543.00
Private room,1 bath,1.0,$334.00
Private room,1 bath,1.0,$313.00
Entire home/apt,1 bath,2.0,$700.00
Private room,1 shared bath,1.0,$277.00
Private room,1 private bath,1.0,$330.00
Shared room,3 shared baths,1.0,$185.00
Entire home/apt,1 bath,1.0,$471.00
Entire home/apt,1 bath,2.0,"$1,118.00"
Private room,1 shared bath,1.0,$412.00
Private room,1 private bath,1.0,$250.00
Entire home/apt,2 baths,4.0,"$2,100.00"
Private room,1 private bath,1.0,$370.00
Private room,1 private bath,1.0,$588.00
Shared room,1 shared bath,1.0,$300.00
Private room,1 private bath,1.0,$400.00
Entire home/apt,1.5 baths,2.0,"$2,523.00"
Private room,1 private bath,1.0,$330.00
Entire home/apt,1 bath,,$594.00
Shared room,1 shared bath,1.0,$800.00
Private room,1 bath,1.0,$450.00
Private room,1 private bath,1.0,$350.00
Private room,1 private bath,1.0,$430.00
Private room,1 bath,1.0,$230.00
Private room,1 bath,1.0,$230.00
Private room,1 bath,1.0,$500.00
Private room,1 bath,1.0,$350.00
Private room,1 private bath,1.0,$717.00
Private room,1 private bath,1.0,"$1,103.00"
Private room,1 bath,1.0,$247.00
Private room,1 private bath,1.0,$579.00
Private room,1 bath,1.0,$350.00
Private room,1 bath,1.0,$450.00
Private room,1 bath,1.0,$450.00
Private room,1 bath,1.0,$450.00
Private room,1 bath,1.0,$450.00
Private room,1 bath,1.0,$450.00
Private room,1 bath,1.0,$450.00
Private room,1 bath,1.0,$450.00
Private room,1 bath,1.0,$550.00
Private room,1 bath,1.0,$550.00
Private room,2 baths,1.0,$550.00
Private room,1 bath,1.0,$600.00
Entire home/apt,6 baths,5.0,"$14,030.00"
Hotel room,1 private bath,1.0,$428.00
Private room,1 shared bath,1.0,$780.00
Hotel room,1 bath,1.0,$780.00
Hotel room,1 shared bath,1.0,$345.00
Private room,1 bath,1.0,$546.00
Hotel room,1 private bath,1.0,$546.00
Hotel room,1 bath,1.0,$345.00
Hotel room,1 bath,1.0,$312.00
Entire home/apt,1 bath,,$450.00
Entire home/apt,1 bath,1.0,$554.00
Private room,1 private bath,,$472.00
Private room,1 bath,1.0,$529.00
Private room,1 bath,,$427.00
Private room,1 private bath,1.0,$450.00
Shared room,0 shared baths,1.0,$143.00
Shared room,0 shared baths,1.0,$259.00
Private room,1.5 baths,1.0,$415.00
Private room,1 shared bath,1.0,"$1,114.00"
Private room,1 shared bath,1.0,$496.00
Entire home/apt,1 bath,2.0,"$1,580.00"
Private room,1 bath,1.0,$450.00
Shared room,1 shared bath,1.0,$200.00
Private room,1 private bath,2.0,"$1,717.00"
Private room,1 bath,1.0,$450.00
Private room,1 private bath,1.0,$550.00
Private room,1 bath,1.0,$488.00
Entire home/apt,1 bath,2.0,"$1,717.00"
Private room,1 private bath,1.0,"$1,115.00"
Private room,1 bath,1.0,$329.00
Entire home/apt,4 baths,4.0,"$3,459.00"
Private room,1 private bath,1.0,$555.00
Entire home/apt,2 baths,3.0,$80.00
Private room,1 private bath,1.0,$664.00
Private room,1 private bath,1.0,$717.00
Private room,1 bath,1.0,$479.00
Entire home/apt,2.5 baths,4.0,"$3,000.00"
Private room,1 bath,1.0,$360.00
Private room,1 bath,1.0,$465.00
Private room,1 private bath,1.0,"$1,115.00"
Private room,1 private bath,1.0,$288.00
Private room,1 bath,1.0,$600.00
Entire home/apt,1 bath,1.0,"$1,257.00"
Entire home/apt,2 baths,,"$1,700.00"
Private room,1 bath,1.0,$340.00
Entire home/apt,Half-bath,3.0,$800.00
Entire home/apt,1 bath,2.0,$820.00
Entire home/apt,1 bath,,"$10,000.00"
Private room,1 private bath,1.0,$248.00
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$270.00
Private room,1 bath,1.0,$800.00
Private room,4.5 shared baths,1.0,$138.00
Private room,1 private bath,1.0,"$11,164.00"
Private room,1 private bath,1.0,"$11,164.00"
Private room,1 private bath,1.0,"$1,115.00"
Hotel room,1 bath,1.0,$345.00
Private room,1 shared bath,1.0,$170.00
Private room,1 private bath,1.0,$291.00
Private room,1 private bath,1.0,$555.00
Private room,1 private bath,1.0,$431.00
Private room,1 bath,1.0,$570.00
Private room,1 private bath,1.0,$400.00
Private room,1 private bath,1.0,$768.00
Entire home/apt,1 bath,1.0,$507.00
Private room,1 bath,1.0,$574.00
Entire home/apt,1 bath,1.0,$573.00
Private room,1 bath,1.0,$440.00
Private room,1 bath,1.0,$849.00
Private room,1 bath,1.0,"$3,349.00"
Private room,1 shared bath,1.0,$291.00
Private room,1 bath,1.0,"$3,349.00"
Private room,1 bath,1.0,"$3,349.00"
Private room,1 shared bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,"$2,529.00"
Private room,1 bath,1.0,"$3,349.00"
Entire home/apt,1 bath,1.0,$957.00
Private room,1 private bath,1.0,$277.00
Entire home/apt,1 bath,1.0,$479.00
Private room,1.5 shared baths,1.0,$850.00
Private room,1 private bath,1.0,$150.00
Private room,1 private bath,1.0,$295.00
Entire home/apt,1 bath,1.0,$811.00
Entire home/apt,1.5 baths,,$264.00
Private room,Shared half-bath,1.0,$587.00
Private room,1 bath,1.0,"$1,190.00"
Private room,1 private bath,1.0,$754.00
Private room,1 private bath,1.0,$760.00
Private room,1 private bath,1.0,$724.00
Private room,1 private bath,1.0,$650.00
Private room,1 bath,1.0,$750.00
Private room,1 bath,1.0,$286.00
Private room,1 bath,1.0,$295.00
Private room,1 private bath,1.0,$277.00
Private room,1 bath,1.0,$180.00
Private room,Shared half-bath,1.0,$537.00
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,1.0,$217.00
Entire home/apt,1 bath,1.0,$217.00
Entire home/apt,2.5 baths,2.0,"$3,700.00"
Private room,1 bath,1.0,$180.00
Private room,1 private bath,1.0,$555.00
Private room,1 private bath,1.0,$400.00
Private room,1 private bath,1.0,$482.00
Entire home/apt,2 baths,2.0,"$3,700.00"
Entire home/apt,3 baths,3.0,"$3,700.00"
Private room,1.5 baths,1.0,$580.00
Private room,3 baths,4.0,"$2,514.00"
Private room,1 bath,1.0,$180.00
Private room,1 private bath,1.0,$444.00
Private room,1 private bath,1.0,$444.00
Hotel room,1 private bath,1.0,$684.00
Private room,1 private bath,1.0,$497.00
Private room,1 shared bath,1.0,$180.00
Entire home/apt,1 bath,,$270.00
Private room,1 bath,1.0,$130.00
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$217.00
Private room,2 shared baths,,$180.00
Hotel room,1 shared bath,1.0,$345.00
Hotel room,1 bath,1.0,$312.00
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,1.0,$569.00
Entire home/apt,2 baths,3.0,"$1,100.00"
Entire home/apt,2 baths,3.0,"$2,114.00"
Private room,1 private bath,1.0,$316.00
Private room,1 bath,1.0,$370.00
Private room,1 private bath,1.0,$336.00
Entire home/apt,1 bath,,$340.00
Entire home/apt,2 baths,3.0,"$1,800.00"
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,1.0,$550.00
Entire home/apt,1 bath,,$500.00
Entire home/apt,1 bath,1.0,$570.00
Private room,1 bath,1.0,$240.00
Private room,1 shared bath,1.0,$217.00
Entire home/apt,1 bath,1.0,"$1,000.00"
Entire home/apt,1 bath,1.0,$450.00
Private room,1 shared bath,1.0,$800.00
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,,$270.00
Entire home/apt,1 bath,,$911.00
Entire home/apt,2 baths,3.0,"$1,200.00"
Shared room,2 shared baths,1.0,$185.00
Entire home/apt,1 bath,,$319.00
Private room,1 private bath,1.0,$544.00
Entire home/apt,1 bath,,$300.00
Entire home/apt,1 bath,2.0,"$1,800.00"
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,1.0,"$1,329.00"
Private room,1 bath,1.0,$700.00
Private room,1 shared bath,1.0,$180.00
Hotel room,1 private bath,1.0,$280.00
Entire home/apt,2 baths,3.0,"$1,800.00"
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,,$270.00
Private room,1 bath,1.0,$217.00
Private room,1 shared bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,2.0,"$1,243.00"
Private room,1 private bath,1.0,$299.00
Private room,1 private bath,1.0,$717.00
Private room,1 private bath,1.0,"$5,019.00"
Private room,1 bath,1.0,$180.00
Private room,1 private bath,1.0,"$1,115.00"
Private room,1 bath,1.0,$180.00
Entire home/apt,1.5 baths,1.0,$650.00
Private room,1 bath,1.0,$180.00
Entire home/apt,1 bath,2.0,$728.00
Private room,1 bath,1.0,$217.00
Private room,1 shared bath,1.0,$180.00
