id,listing_url,neighbourhood,neighbourhood_cleansed,latitude,longitude,accommodates,price,review_scores_value,review_scores_location,review_scores_rating,review_scores_accuracy,review_scores_communication
1944230,https://www.airbnb.com/rooms/1944230,"Discovery Bay, Lantau Island,, Outlying Islands,, Hong Kong",Islands,22.29376,114.02168,7,"$1,800.00",4.56,4.73,4.66,4.82,4.85
1971970,https://www.airbnb.com/rooms/1971970,,Wan Chai,22.27695,114.17563,1,$180.00,3.0,5.0,4.0,4.0,5.0
2023516,https://www.airbnb.com/rooms/2023516,,Wan Chai,22.27705,114.17593,1,$180.00,,,,,
2039863,https://www.airbnb.com/rooms/2039863,"Hong Kong, Hong Kong Island, Hong Kong",Wan Chai,22.28608,114.1912,6,"$1,200.00",4.5,4.67,4.62,4.56,4.9
2079554,https://www.airbnb.com/rooms/2079554,,Central & Western,22.28522,114.13643,2,$180.00,4.0,5.0,5.0,5.0,5.0
2084693,https://www.airbnb.com/rooms/2084693,"Hong Kong, New Territories, Hong Kong",Sha Tin,22.35852,114.14402,4,$835.00,4.54,4.54,4.82,4.82,4.86
2118190,https://www.airbnb.com/rooms/2118190,,Yau Tsim Mong,22.29805,114.17523,2,$800.00,,,,,
2118222,https://www.airbnb.com/rooms/2118222,,Yau Tsim Mong,22.29787,114.17558,2,$850.00,,,,,
2118400,https://www.airbnb.com/rooms/2118400,,Yau Tsim Mong,22.29665,114.17358,3,$950.00,,,,,
2180315,https://www.airbnb.com/rooms/2180315,,Yau Tsim Mong,22.31533,114.1681,1,$217.00,,,,,
2184084,https://www.airbnb.com/rooms/2184084,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western,22.28143,114.14003,2,"$1,949.00",4.67,4.72,4.68,4.94,4.83
2186111,https://www.airbnb.com/rooms/2186111,"Yau Ma Tei, Kowloon, Hong Kong",Yau Tsim Mong,22.31371,114.17006,2,$297.00,,,,,
2217839,https://www.airbnb.com/rooms/2217839,"Hong Kong, Hong Kong Island, Hong Kong",Eastern,22.28942,114.19454,2,$180.00,5.0,5.0,5.0,5.0,4.0
2269506,https://www.airbnb.com/rooms/2269506,,Central & Western,22.28174,114.15413,6,"$2,838.00",4.45,4.83,4.47,4.7,4.64
2298810,https://www.airbnb.com/rooms/2298810,"Hong Kong, New Territories, Hong Kong",Sai Kung,22.39501,114.26992,2,$650.00,4.71,4.54,4.83,4.87,4.94
2333604,https://www.airbnb.com/rooms/2333604,,Eastern,22.29182,114.20248,1,$900.00,,,,,
2413558,https://www.airbnb.com/rooms/2413558,,Eastern,22.28547,114.21686,1,$180.00,,,,,
2432234,https://www.airbnb.com/rooms/2432234,,Wan Chai,22.27052,114.1844,2,"$1,800.00",,,,,
2472517,https://www.airbnb.com/rooms/2472517,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.31338,114.1677,5,$580.00,4.77,4.79,4.83,4.84,4.96
2527002,https://www.airbnb.com/rooms/2527002,,Wong Tai Sin,22.33856,114.21525,1,$180.00,3.0,5.0,4.0,4.0,5.0
2551147,https://www.airbnb.com/rooms/2551147,,Wan Chai,22.27798,114.18068,1,$180.00,,,,,
2566050,https://www.airbnb.com/rooms/2566050,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.31831,114.16962,2,$283.00,4.47,4.8,4.46,4.53,4.87
2601487,https://www.airbnb.com/rooms/2601487,"Hong Kong, Hong Kong Island, Hong Kong",Wan Chai,22.27822,114.18253,2,$217.00,,,,,
2602519,https://www.airbnb.com/rooms/2602519,"Mong Kok, Kowloon, Hong Kong",Yau Tsim Mong,22.31661,114.17143,6,$499.00,4.5,4.77,4.52,4.55,4.81
2604819,https://www.airbnb.com/rooms/2604819,"Hong Kong, kowloon, Hong Kong",Yau Tsim Mong,22.31841,114.17118,8,"$1,014.00",4.57,4.83,4.45,4.47,4.82
2612849,https://www.airbnb.com/rooms/2612849,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.31652,114.17006,6,$464.00,4.6,4.8,4.53,4.62,4.88
