,room_type, bathrooms_text ,bedrooms,price
1695,Private room, 4 shared baths ,4,720
1696,Private room, 1 private bath ,1,430
1697,Private room, 1 private bath ,1,400
1698,Private room, 1 shared bath ,1,180
1699,Private room, 1 shared bath ,1,620
1700,Private room, 1 private bath ,1,450
1701,Private room, 1 private bath ,1,320
1702,Private room, 1 private bath ,1,300
1703,Private room, 1 private bath ,1,300
1704,Private room, 1 private bath ,1,400
1705,Private room, 1 shared bath ,1,330
1706,Private room, 1 shared bath ,1,300
1707,Private room, 1 shared bath ,1,300
1708,Private room, 1 shared bath ,1,180
1709,Private room, 2 shared baths ,1,480
1710,Entire home/apt, 1 bath ,1,830
1711,Shared room, 1 shared bath ,1,8500
1712,Private room, 1 shared bath ,1,224
1713,Private room, 1 shared bath ,1,180
1714,Entire home/apt, 3 baths ,2,2231
1715,Entire home/apt, 1 bath ,3,719
1716,Entire home/apt, 1 bath ,1,771
1717,Entire home/apt, 1 bath ,2,4000
1718,Private room, 1 private bath ,1,12631
1719,Private room, 1 shared bath ,1,180
1720,Entire home/apt, 1 bath ,2,1403
1721,Entire home/apt, 1 bath ,2,1757
1722,Shared room, 1 shared bath ,1,180
1723,Private room, 2 baths ,1,500
1724,Entire home/apt, 1 bath ,2,1403
1725,Shared room, 1 shared bath ,1,130
1726,Entire home/apt, 1 bath ,2,1468
1727,Private room, 1 shared bath ,1,190
1728,Private room, 1 shared bath ,1,242
1729,Shared room, 1 shared bath ,1,250
1730,Shared room, 1 shared bath ,1,180
1731,Shared room, 1 shared bath ,1,180
1732,Shared room, 1 shared bath ,1,180
1733,Shared room, 1 shared bath ,1,180
1734,Shared room, 1 shared bath ,1,180
1735,Private room, 1 bath ,1,210
1736,Entire home/apt, 1 bath ,2,1200
1737,Entire home/apt, 1 bath ,2,900
1738,Private room, 1 shared bath ,1,2220
1739,Shared room, 1 shared bath ,1,180
1740,Shared room, 1 shared bath ,1,180
1741,Shared room, 1 shared bath ,1,130
1742,Shared room, 1 shared bath ,1,180
1743,Shared room, 1 shared bath ,1,180
1744,Shared room, 1 shared bath ,1,180
1745,Entire home/apt, 1 bath ,2,1200
1746,Entire home/apt, 1 bath ,2,600
1747,Shared room, 1 shared bath ,1,270
1748,Shared room, 1 shared bath ,1,180
1749,Shared room, 1 shared bath ,1,180
1750,Shared room, 1 shared bath ,1,180
1751,Shared room, 1 shared bath ,1,180
1752,Shared room, 1 shared bath ,1,180
1753,Shared room, 1 shared bath ,1,180
1754,Shared room, 1 shared bath ,1,180
1755,Shared room, 1 shared bath ,1,120
1756,Private room, 1 shared bath ,1,600
1757,Entire home/apt, 2 baths ,2,1275
1758,Shared room, 1 shared bath ,1,180
1759,Shared room, 1 shared bath ,1,180
1760,Shared room, 1 shared bath ,1,180
1761,Shared room, 1 shared bath ,1,180
1762,Shared room, 1 shared bath ,1,180
1763,Private room, 1 private bath ,1,460
1764,Private room, 1 private bath ,1,980
1765,Private room, 1 private bath ,1,450
1766,Entire home/apt, 1 bath ,2,1129
1767,Entire home/apt, 1 bath ,2,629
1768,Shared room, 1 shared bath ,1,180
1769,Shared room, 1 shared bath ,1,180
1770,Shared room, 1 shared bath ,1,180
1771,Private room, 1 private bath ,1,500520
1772,Private room, 1 private bath ,1,450480
1773,Entire home/apt, 1 bath ,2,2500
1774,Private room, 1 private bath ,1,350
1775,Private room, 1 private bath ,1,420
1776,Private room, 2 shared baths ,1,180
1777,Private room, 1 shared bath ,1,220
1778,Private room, 1 bath ,1,180
1779,Shared room, 1 shared bath ,1,180
1780,Private room, 1 shared bath ,1,650
1781,Entire home/apt, 1 bath ,2,600
1782,Entire home/apt, 1.5 baths ,1,600
1783,Private room, 1 shared bath ,1,600
1784,Private room, 1 bath ,1,180
1785,Shared room, 1 shared bath ,1,180
1786,Shared room, 1 shared bath ,1,180
1787,Shared room, 1 shared bath ,1,180
1788,Private room, 1 shared bath ,1,180
1789,Entire home/apt, 1 bath ,3,850
1790,Entire home/apt, 1 bath ,1,787
1791,Private room, 1 shared bath ,1,319
1792,Entire home/apt, 2 baths ,2,1290
1793,Entire home/apt, 4 baths ,3,1450
1794,Shared room, 1 shared bath ,1,180
1795,Shared room, 1 shared bath ,1,150
1796,Shared room, 1 shared bath ,1,180
1797,Entire home/apt, 1 bath ,1,217
1798,Entire home/apt, 1 bath ,2,3000
1799,Entire home/apt, 1 bath ,1,768
1800,Entire home/apt, 1 bath ,1,768
1801,Private room, 1 shared bath ,1,424
1802,Shared room, 1 shared bath ,1,180
1803,Shared room, 1 shared bath ,1,180
1804,Shared room, 1 shared bath ,1,180
1805,Shared room, 1 shared bath ,1,180
1806,Private room, 1 shared bath ,1,180
1807,Private room, 1 private bath ,1,1895
1808,Private room, 1 shared bath ,1,180
1809,Shared room, 1 shared bath ,1,180
1810,Entire home/apt, 1 bath ,2,991
1811,Private room, 1 shared bath ,1,350
1812,Private room, 1.5 shared baths ,1,180
1813,Entire home/apt, 1 bath ,2,1786
1814,Entire home/apt, 1 bath ,1,783
1815,Private room, 1 private bath ,1,1894
1816,Private room, 1 shared bath ,1,140
1817,Private room, 1 shared bath ,1,130
1818,Private room, 1 shared bath ,1,180
1819,Entire home/apt, 1 bath ,1,380
1820,Entire home/apt, 1 bath ,1,489
1821,Private room, 1 shared bath ,1,130
1822,Entire home/apt, 1 bath ,2,1350
1823,Private room, 1 bath ,1,180
1824,Private room, 1 shared bath ,1,350
1825,Entire home/apt, 1 bath ,2,1400
1826,Shared room, 1 shared bath ,1,180
1827,Private room, 1 bath ,1,180
1828,Private room, 1 shared bath ,1,4421
1829,Entire home/apt, 1 bath ,1,768
1830,Private room, 1 bath ,1,110
1831,Private room, 1 shared bath ,1,150
1832,Entire home/apt, 1 bath ,2,1500
1833,Entire home/apt, 1 bath ,2,750
1834,Private room, 1 bath ,1,180
1835,Private room, 1.5 shared baths ,1,240
1836,Private room, 1 bath ,1,180
1837,Shared room, 1 shared bath ,1,2880
1838,Private room, 1 bath ,1,180
1839,Private room, 1 bath ,1,180
1840,Private room, 1 bath ,1,180
1841,Private room, 1 bath ,1,150
1842,Private room, 1 bath ,1,150
1843,Private room, 1 bath ,1,120
1844,Private room, 1 shared bath ,1,620
1845,Private room, 1 bath ,1,350
1846,Private room, 1 shared bath ,1,130
1847,Entire home/apt, 1 bath ,2,1000
1848,Private room, 1 private bath ,1,550
1849,Private room, 1 private bath ,1,500
1850,Private room, 1 private bath ,1,350
1851,Private room, 1 private bath ,1,502
1852,Entire home/apt, 2 baths ,2,3307
1853,Private room, 1 shared bath ,1,700
1854,Shared room, 1 shared bath ,1,489
1855,Entire home/apt, 3 baths ,4,3783
1856,Private room, 1 bath ,1,180
1857,Shared room, 1 shared bath ,1,180
1858,Entire home/apt, 1 bath ,1,768
1859,Shared room, 1 shared bath ,1,588
1860,Shared room, 1 shared bath ,1,348
1861,Shared room, 1 shared bath ,1,348
1862,Shared room, 1 shared bath ,1,345
1863,Shared room, 1 shared bath ,1,345
1864,Entire home/apt, 1 bath ,3,1880
1865,Shared room, 1 shared bath ,1,372
1866,Entire home/apt, 3 baths ,3,877
1867,Entire home/apt, 1 bath ,3,1650
1868,Private room, 1 private bath ,1,248
