,Rt,Bt,bedrooms,price
949,Private room,2,6,180.0
950,Private room,1,1,447.0
951,Entire home/apt,1,1,920.0
952,Entire home/apt,1,1,850.0
953,Private room,1,2,814.0
954,Private room,1,1,130.0
955,Private room,1,1,160.0
956,Private room,1,1,180.0
957,Private room,1,1,180.0
958,Private room,1,1,206.0
959,Private room,1,1,180.0
960,Private room,1,1,178.0
961,Private room,1,1,180.0
962,Private room,1,1,180.0
963,Private room,1,1,180.0
964,Private room,1,1,334.0
965,Private room,1,1,371.0
966,Private room,1,1,206.0
967,Private room,1,1,206.0
968,Shared room,2,1,380.0
969,Private room,1,1,130.0
970,Entire home/apt,1,1,754.0
971,Private room,1,1,857.0
972,Private room,1,1,180.0
973,Private room,1,1,180.0
974,Private room,1,1,180.0
975,Private room,1,1,100.0
976,Private room,1,1,180.0
977,Private room,1,1,190.0
978,Private room,1,1,180.0
979,Private room,1,1,180.0
980,Private room,1,1,135.0
981,Private room,1,1,180.0
982,Private room,1,1,180.0
983,Private room,1,1,180.0
984,Entire home/apt,1,1,750.0
985,Private room,1,1,180.0
986,Entire home/apt,1,1,353.0
987,Private room,1,1,267.0
988,Private room,1,1,180.0
989,Private room,1,1,180.0
990,Private room,1,1,180.0
991,Private room,1,1,135.0
992,Private room,1,1,200.0
993,Private room,1,1,163.0
994,Private room,1,1,180.0
995,Private room,1,1,180.0
996,Private room,1,1,420.0
997,Private room,1,1,130.0
998,Private room,1,1,190.0
999,Private room,1,1,217.0
1000,Private room,1,1,180.0
1001,Private room,1,1,180.0
1002,Entire home/apt,1,1,650.0
1003,Private room,1,1,180.0
1004,Private room,1,1,180.0
1005,Private room,2,1,180.0
1006,Private room,1,1,180.0
1007,Private room,1,1,143.0
1008,Private room,1,1,180.0
1009,Private room,1,1,180.0
1010,Private room,1,1,270.0
1011,Private room,1,1,400.0
1012,Private room,1,1,217.0
1013,Entire home/apt,1,1,436.0
1014,Private room,1,1,424.0
1015,Private room,1,1,328.0
1016,Private room,1,1,370.0
1017,Private room,1,1,279.0
1018,Entire home/apt,1,1,180.0
1019,Private room,1,1,220.0
1020,Private room,1,1,180.0
1021,Shared room,1,1,335.0
1022,Private room,1,1,180.0
1023,Private room,1,1,180.0
1024,Private room,1,1,360.0
1025,Private room,1,1,313.0
1026,Entire home/apt,15,1,590.0
1027,Private room,1,1,620.0
1028,Private room,1,1,380.0
1029,Private room,1,1,180.0
1030,Entire home/apt,1,2,850.0
1031,Entire home/apt,1,1,880.0
1032,Entire home/apt,1,2,850.0
1033,Entire home/apt,1,2,850.0
1034,Private room,1,1,180.0
1035,Private room,1,1,180.0
1036,Private room,1,1,386.0
1037,Entire home/apt,1,1,788.0
1038,Private room,1,1,180.0
1039,Private room,1,1,180.0
1040,Private room,1,1,380.0
1041,Private room,1,1,438.0
1042,Entire home/apt,1,1,500.0
1043,Private room,15,1,250.0
1044,Private room,1,1,180.0
1045,Private room,1,1,180.0
1046,Private room,1,1,480.0
1047,Private room,1,1,480.0
1048,Private room,1,1,586.0
1049,Entire home/apt,15,1,598.0
1050,Private room,2,1,180.0
1051,Private room,1,1,180.0
1052,Private room,1,1,180.0
1053,Private room,1,1,550.0
1054,Private room,1,1,438.0
1055,Entire home/apt,1,1,850.0
1056,Private room,15,1,543.0
1057,Private room,1,1,180.0
1058,Private room,1,1,180.0
1059,Private room,1,1,180.0
1060,Private room,2,1,180.0
1061,Private room,15,1,380.0
1062,Entire home/apt,1,1,800.0
1063,Private room,1,1,180.0
1064,Entire home/apt,1,1,410.0
1065,Private room,1,1,380.0
1066,Private room,1,1,130.0
1067,Private room,1,1,350.0
1068,Private room,1,1,500.0
1069,Entire home/apt,1,2,699.0
1070,Private room,1,1,180.0
1071,Private room,1,1,180.0
1072,Private room,1,1,180.0
1073,Private room,1,1,380.0
1074,Private room,1,1,380.0
1075,Private room,1,1,120.0
1076,Private room,1,1,180.0
1077,Shared room,2,1,130.0
1078,Private room,1,1,180.0
1079,Private room,1,1,180.0
1080,Private room,1,1,180.0
1081,Private room,1,1,150.0
1082,Private room,1,1,150.0
1083,Private room,1,1,383.0
1084,Private room,1,1,265.0
1085,Private room,1,1,265.0
1086,Private room,1,1,415.0
1087,Private room,1,1,415.0
1088,Private room,1,1,130.0
1089,Private room,1,1,130.0
1090,Private room,1,1,180.0
1091,Private room,1,1,180.0
1092,Private room,1,1,180.0
1093,Private room,1,1,180.0
1094,Private room,2,1,180.0
1095,Private room,1,1,130.0
1096,Private room,1,1,380.0
1097,Private room,2,1,180.0
1098,Private room,1,1,180.0
1099,Private room,1,1,121.0
1100,Private room,1,1,400.0
1101,Shared room,2,1,263.0
1102,Shared room,2,1,249.0
1103,Shared room,2,1,283.0
1104,Private room,1,1,130.0
1105,Entire home/apt,1,2,909.0
1106,Private room,1,1,160.0
1107,Private room,1,1,150.0
1108,Entire home/apt,1,1,717.0
1109,Private room,1,1,620.0
1110,Private room,1,1,130.0
1111,Private room,1,1,450.0
1112,Private room,1,1,180.0
1113,Private room,15,1,454.0
1114,Private room,1,1,180.0
1115,Private room,1,1,180.0
1116,Entire home/apt,1,1,217.0
1117,Private room,1,1,400.0
1118,Private room,15,1,750.0
1119,Entire home/apt,1,2,893.0
1120,Private room,1,1,180.0
1121,Private room,1,1,180.0
1122,Private room,1,1,439.0
1123,Shared room,1,1,180.0
1124,Private room,1,1,473.0
1125,Private room,1,1,537.0
1126,Private room,1,1,615.0
1127,Private room,1,1,692.0
1128,Private room,1,1,692.0
1129,Private room,1,1,692.0
1130,Private room,1,1,692.0
1131,Private room,1,1,439.0
1132,Private room,1,1,439.0
1133,Private room,1,1,439.0
1134,Private room,1,1,439.0
1135,Private room,1,1,481.0
1136,Private room,1,1,481.0
1137,Private room,1,1,481.0
1138,Private room,1,1,481.0
1139,Private room,1,1,537.0
1140,Private room,1,1,537.0
1141,Private room,1,1,537.0
1142,Private room,1,1,615.0
1143,Private room,1,1,615.0
1144,Private room,1,1,217.0
1145,Private room,2,1,180.0
1146,Entire home/apt,1,2,850.0
1147,Entire home/apt,1,2,850.0
1148,Private room,1,1,130.0
1149,Shared room,2,1,207.0
1150,Private room,1,1,455.0
1151,Private room,1,1,555.0
1152,Private room,2,1,563.0
1153,Shared room,2,1,185.0
1154,Private room,1,1,400.0
1155,Entire home/apt,15,1,357.0
1156,Private room,1,1,235.0
1157,Private room,1,1,180.0
1158,Private room,1,1,180.0
1159,Private room,1,1,180.0
1160,Hotel room,1,1,459.0
1161,Private room,2,3,700.0
1162,Private room,1,1,140.0
1163,Private room,1,1,130.0
1164,Private room,1,1,130.0
1165,Private room,1,1,180.0
1166,Private room,1,1,180.0
1167,Private room,1,1,130.0
1168,Private room,1,1,180.0
1169,Private room,1,1,130.0
1170,Private room,1,1,180.0
1171,Private room,1,1,180.0
1172,Private room,2,1,125.0
1173,Private room,1,1,350.0
1174,Private room,15,1,600.0
1175,Private room,1,1,150.0
1176,Private room,1,1,160.0
1177,Private room,1,1,280.0
1178,Private room,1,1,180.0
1179,Private room,1,1,130.0
1180,Private room,1,1,130.0
1181,Private room,1,1,180.0
1182,Entire home/apt,1,1,800.0
1183,Private room,2,1,160.0
1184,Private room,1,1,180.0
1185,Private room,15,1,180.0
1186,Private room,1,1,650.0
1187,Private room,1,1,180.0
1188,Private room,1,1,414.0
1189,Private room,1,1,200.0
1190,Private room,1,1,200.0
1191,Private room,1,1,226.0
1192,Private room,1,1,130.0
1193,Private room,1,1,299.0
1194,Private room,1,1,180.0
1195,Private room,1,1,480.0
1196,Private room,1,1,380.0
1197,Private room,1,1,130.0
1198,Private room,1,1,130.0
1199,Private room,15,1,300.0
1200,Private room,1,1,200.0
1201,Private room,1,1,436.0
1202,Private room,1,1,200.0
1203,Private room,1,1,200.0
1204,Entire home/apt,1,1,914.0
1205,Private room,2,1,180.0
1206,Private room,1,1,180.0
1207,Entire home/apt,15,1,225.0
1208,Private room,1,1,180.0
1209,Private room,1,1,180.0
1210,Private room,1,1,500.0
1211,Private room,1,1,130.0
1212,Shared room,1,1,140.0
1213,Private room,1,1,180.0
1214,Private room,1,1,180.0
1215,Private room,1,1,180.0
1216,Private room,1,1,180.0
1217,Shared room,1,1,150.0
1218,Private room,1,1,140.0
1219,Private room,1,1,180.0
1220,Private room,1,1,404.0
1221,Private room,1,1,404.0
1222,Private room,1,1,404.0
1223,Private room,1,1,404.0
1224,Private room,1,1,404.0
1225,Private room,1,1,401.0
1226,Private room,1,1,140.0
1227,Private room,1,1,404.0
1228,Private room,1,1,454.0
1229,Private room,1,1,488.0
1230,Private room,1,1,130.0
1231,Private room,15,1,300.0
1232,Private room,1,1,130.0
1233,Private room,1,1,140.0
1234,Private room,1,1,130.0
1235,Private room,1,1,400.0
1236,Entire home/apt,1,1,449.0
1237,Entire home/apt,1,1,480.0
1238,Entire home/apt,1,1,350.0
1239,Entire home/apt,1,1,421.0
1240,Private room,1,1,180.0
1241,Private room,1,1,760.0
1242,Entire home/apt,1,1,350.0
1243,Private room,1,1,130.0
1244,Entire home/apt,1,1,704.0
1245,Private room,1,1,450.0
1246,Private room,1,1,200.0
1247,Private room,1,1,298.0
1248,Private room,1,1,180.0
1249,Private room,1,1,150.0
1250,Private room,2,1,130.0
1251,Entire home/apt,1,1,336.0
1252,Entire home/apt,1,1,299.0
1253,Private room,1,1,180.0
1254,Entire home/apt,1,2,550.0
1255,Private room,1,1,650.0
1256,Entire home/apt,1,1,408.0
1257,Entire home/apt,1,1,217.0
1258,Private room,1,1,287.0
1259,Private room,1,1,400.0
1260,Entire home/apt,1,1,629.0
1261,Private room,1,1,543.0
1262,Private room,1,1,436.0
1263,Private room,1,1,180.0
1264,Private room,1,1,180.0
1265,Private room,1,1,180.0
1266,Private room,1,1,250.0
1267,Private room,1,1,180.0
1268,Shared room,1,1,700.0
1269,Entire home/apt,2,3,700.0
1270,Hotel room,2,1,284.0
1271,Entire home/apt,1,1,700.0
1272,Hotel room,25,1,207.0
1273,Private room,1,1,439.0
1274,Entire home/apt,1,2,811.0
1275,Entire home/apt,1,1,980.0
1276,Entire home/apt,1,1,971.0
1277,Private room,1,1,357.0
1278,Entire home/apt,2,1,800.0
1279,Private room,1,1,717.0
1280,Private room,15,1,350.0
1281,Private room,1,1,490.0
1282,Private room,1,1,400.0
1283,Private room,1,1,180.0
1284,Private room,1,1,430.0
1285,Private room,1,1,180.0
1286,Private room,1,1,180.0
1287,Private room,1,1,130.0
1288,Private room,1,1,180.0
1289,Private room,1,1,430.0
1290,Private room,1,1,180.0
1291,Private room,1,1,180.0
1292,Private room,1,1,130.0
1293,Entire home/apt,1,1,450.0
1294,Shared room,2,1,185.0
1295,Shared room,2,1,185.0
1296,Shared room,2,1,185.0
1297,Shared room,2,1,185.0
1298,Shared room,2,1,185.0
1299,Shared room,2,1,185.0
1300,Shared room,2,1,185.0
1301,Shared room,2,1,185.0
1302,Shared room,2,1,185.0
1303,Shared room,2,1,185.0
1304,Shared room,2,1,185.0
1305,Shared room,2,1,185.0
1306,Shared room,2,1,185.0
1307,Shared room,2,1,185.0
1308,Shared room,2,1,185.0
1309,Shared room,2,1,185.0
1310,Private room,1,1,231.0
1311,Private room,1,1,200.0
1312,Private room,1,1,180.0
1313,Private room,1,1,180.0
1314,Private room,1,1,180.0
1315,Private room,1,1,110.0
1316,Private room,1,1,120.0
1317,Private room,1,1,180.0
1318,Private room,1,1,620.0
1319,Private room,15,1,250.0
1320,Private room,1,1,400.0
1321,Entire home/apt,15,1,700.0
1322,Private room,1,1,600.0
1323,Private room,1,1,130.0
1324,Private room,1,1,180.0
1325,Private room,15,1,600.0
1326,Entire home/apt,1,1,700.0
1327,Shared room,1,1,150.0
1328,Entire home/apt,15,1,999.0
1329,Shared room,1,1,150.0
1330,Private room,1,1,180.0
1331,Private room,0,1,180.0
1332,Private room,1,1,130.0
1333,Private room,1,1,180.0
1334,Private room,1,1,130.0
1335,Private room,1,1,130.0
1336,Private room,1,1,130.0
1337,Private room,1,1,180.0
1338,Private room,1,1,217.0
1339,Shared room,1,1,243.0
1340,Private room,1,1,617.0
1341,Private room,1,1,371.0
1342,Private room,1,1,574.0
1343,Private room,1,1,615.0
1344,Private room,1,1,537.0
1345,Private room,1,1,414.0
1346,Entire home/apt,1,2,958.0
1347,Shared room,4,1,227.0
1348,Shared room,4,1,285.0
1349,Private room,1,1,180.0
1350,Private room,1,1,380.0
1351,Private room,1,1,943.0
1352,Private room,1,1,180.0
1353,Private room,1,1,180.0
1354,Private room,1,1,450.0
1355,Private room,1,1,450.0
1356,Private room,1,1,500.0
1357,Private room,1,1,500.0
1358,Shared room,1,1,772.0
1359,Private room,1,1,600.0
1360,Private room,1,1,214.0
1361,Private room,1,1,352.0
1362,Entire home/apt,1,2,814.0
1363,Private room,1,1,130.0
1364,Private room,4,4,720.0
1365,Private room,1,1,430.0
1366,Private room,1,1,400.0
1367,Private room,1,1,180.0
1368,Private room,1,1,620.0
1369,Private room,1,1,450.0
1370,Private room,1,1,320.0
1371,Private room,1,1,300.0
1372,Private room,1,1,300.0
1373,Private room,1,1,400.0
1374,Private room,1,1,330.0
1375,Private room,1,1,300.0
1376,Private room,1,1,300.0
1377,Private room,1,1,180.0
1378,Private room,2,1,480.0
1379,Entire home/apt,1,1,830.0
1380,Private room,1,1,224.0
1381,Private room,1,1,180.0
1382,Entire home/apt,1,3,719.0
1383,Entire home/apt,1,1,771.0
1384,Private room,1,1,180.0
1385,Shared room,1,1,180.0
1386,Private room,2,1,500.0
1387,Shared room,1,1,130.0
1388,Private room,1,1,190.0
1389,Private room,1,1,242.0
1390,Shared room,1,1,250.0
1391,Shared room,1,1,180.0
1392,Shared room,1,1,180.0
1393,Shared room,1,1,180.0
1394,Shared room,1,1,180.0
1395,Shared room,1,1,180.0
1396,Private room,1,1,210.0
1397,Entire home/apt,1,2,900.0
1398,Shared room,1,1,180.0
1399,Shared room,1,1,180.0
1400,Shared room,1,1,130.0
1401,Shared room,1,1,180.0
1402,Shared room,1,1,180.0
1403,Shared room,1,1,180.0
1404,Entire home/apt,1,2,600.0
1405,Shared room,1,1,270.0
1406,Shared room,1,1,180.0
1407,Shared room,1,1,180.0
1408,Shared room,1,1,180.0
1409,Shared room,1,1,180.0
1410,Shared room,1,1,180.0
1411,Shared room,1,1,180.0
1412,Shared room,1,1,180.0
1413,Shared room,1,1,120.0
1414,Private room,1,1,600.0
1415,Shared room,1,1,180.0
1416,Shared room,1,1,180.0
1417,Shared room,1,1,180.0
1418,Shared room,1,1,180.0
1419,Shared room,1,1,180.0
1420,Private room,1,1,460.0
1421,Private room,1,1,980.0
1422,Private room,1,1,450.0
1423,Entire home/apt,1,2,629.0
1424,Shared room,1,1,180.0
1425,Shared room,1,1,180.0
1426,Shared room,1,1,180.0
1427,Private room,1,1,350.0
1428,Private room,1,1,420.0
1429,Private room,2,1,180.0
1430,Private room,1,1,220.0
1431,Private room,1,1,180.0
1432,Shared room,1,1,180.0
1433,Private room,1,1,650.0
1434,Entire home/apt,1,2,600.0
1435,Entire home/apt,15,1,600.0
1436,Private room,1,1,600.0
1437,Private room,1,1,180.0
1438,Shared room,1,1,180.0
1439,Shared room,1,1,180.0
1440,Shared room,1,1,180.0
1441,Private room,1,1,180.0
1442,Entire home/apt,1,3,850.0
1443,Entire home/apt,1,1,787.0
1444,Private room,1,1,319.0
1445,Shared room,1,1,180.0
1446,Shared room,1,1,150.0
1447,Shared room,1,1,180.0
1448,Entire home/apt,1,1,217.0
1449,Entire home/apt,1,1,768.0
1450,Entire home/apt,1,1,768.0
1451,Private room,1,1,424.0
1452,Shared room,1,1,180.0
1453,Shared room,1,1,180.0
1454,Shared room,1,1,180.0
1455,Shared room,1,1,180.0
1456,Private room,1,1,180.0
1457,Private room,1,1,180.0
1458,Shared room,1,1,180.0
1459,Entire home/apt,1,2,991.0
1460,Private room,1,1,350.0
1461,Private room,15,1,180.0
1462,Entire home/apt,1,1,783.0
1463,Private room,1,1,140.0
1464,Private room,1,1,130.0
1465,Private room,1,1,180.0
1466,Entire home/apt,1,1,380.0
1467,Entire home/apt,1,1,489.0
1468,Private room,1,1,130.0
1469,Private room,1,1,180.0
1470,Private room,1,1,350.0
1471,Shared room,1,1,180.0
1472,Private room,1,1,180.0
1473,Entire home/apt,1,1,768.0
1474,Private room,1,1,110.0
1475,Private room,1,1,150.0
1476,Entire home/apt,1,2,750.0
1477,Private room,1,1,180.0
1478,Private room,15,1,240.0
1479,Private room,1,1,180.0
1480,Private room,1,1,180.0
1481,Private room,1,1,180.0
1482,Private room,1,1,180.0
1483,Private room,1,1,150.0
1484,Private room,1,1,150.0
1485,Private room,1,1,120.0
1486,Private room,1,1,620.0
1487,Private room,1,1,350.0
1488,Private room,1,1,130.0
1489,Private room,1,1,550.0
1490,Private room,1,1,500.0
1491,Private room,1,1,350.0
1492,Private room,1,1,502.0
1493,Private room,1,1,700.0
1494,Shared room,1,1,489.0
1495,Private room,1,1,180.0
1496,Shared room,1,1,180.0
1497,Entire home/apt,1,1,768.0
1498,Shared room,1,1,588.0
1499,Shared room,1,1,348.0
1500,Shared room,1,1,348.0
1501,Shared room,1,1,345.0
1502,Shared room,1,1,345.0
1503,Shared room,1,1,372.0
1504,Entire home/apt,3,3,877.0
1505,Private room,1,1,248.0
1506,Private room,1,1,388.0
1507,Private room,1,1,248.0
1508,Private room,1,1,400.0
1509,Private room,4,4,720.0
1510,Private room,4,4,720.0
1511,Private room,15,1,380.0
1512,Private room,15,1,500.0
1513,Private room,1,1,180.0
1514,Private room,1,1,481.0
1515,Private room,1,1,130.0
1516,Private room,1,1,217.0
1517,Entire home/apt,1,1,410.0
1518,Private room,1,1,180.0
1519,Private room,1,1,180.0
1520,Private room,1,1,180.0
1521,Private room,1,1,180.0
1522,Private room,2,1,180.0
1523,Private room,2,1,180.0
1524,Private room,2,1,180.0
1525,Private room,1,1,460.0
1526,Private room,1,1,180.0
1527,Private room,,1,288.0
1528,Shared room,3,1,172.0
1529,Private room,1,1,180.0
1530,Private room,1,1,180.0
1531,Shared room,1,1,180.0
1532,Shared room,1,1,180.0
1533,Shared room,1,1,180.0
1534,Private room,1,1,180.0
1535,Shared room,1,1,180.0
1536,Entire home/apt,15,1,690.0
1537,Entire home/apt,1,1,551.0
1538,Entire home/apt,1,1,541.0
1539,Private room,1,1,430.0
1540,Private room,1,1,590.0
1541,Private room,1,1,490.0
1542,Private room,1,1,490.0
1543,Private room,1,1,277.0
1544,Private room,1,1,280.0
1545,Shared room,1,1,160.0
1546,Private room,1,1,480.0
1547,Shared room,1,1,191.0
1548,Shared room,1,1,657.0
1549,Private room,1,1,329.0
1550,Entire home/apt,1,3,775.0
1551,Shared room,1,1,180.0
1552,Entire home/apt,1,1,880.0
1553,Private room,1,1,180.0
1554,Shared room,1,1,180.0
1555,Private room,1,1,180.0
1556,Private room,1,1,180.0
1557,Private room,1,1,180.0
1558,Private room,1,1,180.0
1559,Private room,1,1,180.0
1560,Entire home/apt,1,1,684.0
1561,Entire home/apt,1,1,684.0
1562,Private room,1,1,180.0
1563,Private room,2,1,180.0
1564,Entire home/apt,1,1,517.0
1565,Private room,1,1,180.0
1566,Private room,1,1,248.0
1567,Shared room,1,1,180.0
1568,Private room,1,1,130.0
1569,Private room,1,1,180.0
1570,Private room,1,1,140.0
1571,Entire home/apt,1,1,880.0
1572,Private room,1,1,180.0
1573,Entire home/apt,1,3,800.0
1574,Private room,1,1,180.0
1575,Private room,1,1,323.0
1576,Private room,1,1,180.0
1577,Private room,2,1,180.0
1578,Shared room,1,1,180.0
1579,Private room,15,1,857.0
1580,Shared room,1,1,180.0
1581,Shared room,1,1,150.0
1582,Private room,1,1,479.0
1583,Shared room,1,1,180.0
1584,Private room,1,1,180.0
1585,Private room,1,1,180.0
1586,Entire home/apt,1,1,500.0
1587,Entire home/apt,1,1,500.0
1588,Private room,1,1,180.0
1589,Private room,1,1,180.0
1590,Private room,1,1,180.0
1591,Private room,1,1,180.0
1592,Private room,1,1,246.0
1593,Shared room,1,1,180.0
1594,Entire home/apt,1,1,500.0
1595,Shared room,1,1,180.0
1596,Private room,1,1,550.0
1597,Private room,1,1,400.0
1598,Private room,1,1,220.0
1599,Private room,1,1,570.0
1600,Private room,1,1,250.0
1601,Private room,15,1,220.0
1602,Private room,1,1,250.0
1603,Shared room,1,1,180.0
1604,Shared room,1,1,180.0
1605,Private room,1,2,650.0
1606,Shared room,1,1,180.0
1607,Private room,15,1,717.0
1608,Entire home/apt,1,1,685.0
1609,Shared room,1,1,180.0
1610,Entire home/apt,1,1,995.0
1611,Entire home/apt,2,2,885.0
1612,Private room,1,1,180.0
1613,Shared room,2,1,180.0
1614,Private room,1,1,180.0
1615,Private room,1,1,228.0
1616,Private room,1,1,228.0
1617,Private room,1,1,228.0
1618,Private room,1,1,348.0
1619,Private room,1,1,180.0
1620,Private room,1,1,348.0
1621,Shared room,1,1,180.0
1622,Private room,1,1,223.0
1623,Hotel room,1,1,154.0
1624,Private room,1,1,180.0
1625,Private room,1,1,180.0
1626,Shared room,1,1,180.0
1627,Private room,1,1,180.0
1628,Shared room,1,1,180.0
1629,Entire home/apt,1,1,180.0
1630,Shared room,1,1,180.0
1631,Shared room,1,1,180.0
1632,Private room,1,1,180.0
1633,Shared room,1,1,180.0
1634,Shared room,2,1,180.0
1635,Private room,1,1,180.0
1636,Private room,1,1,145.0
1637,Shared room,1,1,180.0
1638,Shared room,1,1,180.0
1639,Hotel room,1,1,177.0
1640,Shared room,1,1,180.0
1641,Private room,1,1,180.0
1642,Private room,2,1,180.0
1643,Shared room,1,1,160.0
1644,Private room,1,1,180.0
1645,Private room,1,1,180.0
1646,Shared room,1,1,150.0
1647,Shared room,1,1,180.0
1648,Hotel room,1,1,800.0
1649,Private room,,1,800.0
1650,Shared room,1,1,180.0
1651,Hotel room,1,1,124.0
1652,Hotel room,1,1,496.0
1653,Hotel room,1,1,457.0
1654,Private room,1,1,147.0
1655,Hotel room,1,1,609.0
1656,Hotel room,1,1,486.0
1657,Private room,1,1,491.0
1658,Private room,2,1,180.0
1659,Hotel room,1,1,330.0
1660,Hotel room,1,1,400.0
1661,Private room,1,1,147.0
1662,Private room,1,1,180.0
1663,Private room,1,1,120.0
1664,Private room,1,1,235.0
1665,Private room,1,1,648.0
1666,Private room,1,1,180.0
1667,Private room,1,1,147.0
1668,Private room,1,1,180.0
1669,Private room,2,1,180.0
1670,Private room,1,1,180.0
1671,Entire home/apt,1,1,729.0
1672,Entire home/apt,1,2,600.0
1673,Private room,1,1,180.0
1674,Private room,1,1,180.0
1675,Private room,1,1,823.0
1676,Shared room,1,1,180.0
1677,Private room,1,1,180.0
1678,Private room,1,1,180.0
1679,Private room,1,1,180.0
1680,Private room,1,1,160.0
1681,Private room,1,1,180.0
1682,Private room,1,1,180.0
1683,Private room,2,1,180.0
1684,Private room,1,1,180.0
1685,Private room,1,1,180.0
1686,Private room,1,1,450.0
1687,Private room,1,1,180.0
1688,Private room,1,1,150.0
1689,Private room,1,1,180.0
1690,Private room,1,1,180.0
1691,Private room,1,1,120.0
1692,Private room,1,1,180.0
1693,Private room,1,1,160.0
1694,Private room,2,1,180.0
1695,Private room,2,1,160.0
1696,Private room,1,1,180.0
1697,Private room,1,1,180.0
1698,Private room,1,1,180.0
1699,Private room,1,1,180.0
1700,Private room,1,1,293.0
1701,Private room,1,1,180.0
1702,Private room,1,1,180.0
1703,Private room,1,1,180.0
1704,Private room,1,1,180.0
1705,Entire home/apt,1,1,770.0
1706,Entire home/apt,1,1,867.0
1707,Private room,1,1,180.0
1708,Private room,1,1,180.0
1709,Private room,1,1,180.0
1710,Entire home/apt,1,1,527.0
1711,Entire home/apt,1,1,867.0
1712,Private room,2,5,220.0
1713,Private room,1,1,180.0
1714,Private room,1,1,180.0
1715,Private room,2,1,180.0
1716,Private room,1,1,180.0
1717,Private room,1,1,211.0
1718,Private room,1,1,180.0
1719,Private room,1,4,500.0
1720,Private room,2,1,180.0
1721,Entire home/apt,1,1,829.0
1722,Private room,2,1,180.0
1723,Private room,2,1,180.0
1724,Private room,2,1,180.0
1725,Private room,2,1,180.0
1726,Private room,2,1,180.0
1727,Shared room,1,1,398.0
1728,Private room,1,1,206.0
1729,Private room,1,1,180.0
1730,Private room,1,1,424.0
1731,Private room,1,1,180.0
1732,Private room,1,1,180.0
1733,Private room,1,1,180.0
1734,Private room,1,1,861.0
1735,Entire home/apt,2,3,900.0
1736,Private room,1,1,217.0
1737,Private room,1,1,180.0
1738,Private room,1,1,180.0
1739,Private room,1,1,180.0
1740,Private room,1,1,520.0
1741,Private room,1,1,180.0
1742,Private room,1,1,180.0
1743,Private room,1,1,180.0
1744,Private room,1,1,180.0
1745,Private room,1,1,180.0
1746,Private room,1,1,180.0
1747,Private room,1,1,350.0
1748,Private room,1,1,180.0
1749,Private room,1,1,180.0
1750,Private room,1,1,180.0
1751,Private room,1,1,217.0
1752,Private room,1,1,180.0
1753,Private room,1,1,180.0
1754,Shared room,1,1,180.0
1755,Private room,1,1,180.0
1756,Private room,1,1,180.0
1757,Private room,2,1,180.0
1758,Private room,2,1,180.0
1759,Private room,2,1,180.0
1760,Private room,1,1,180.0
1761,Entire home/apt,1,2,358.0
1762,Private room,1,4,267.0
1763,Private room,1,1,160.0
1764,Private room,2,1,180.0
1765,Private room,2,1,180.0
1766,Private room,1,1,180.0
1767,Private room,1,1,180.0
1768,Private room,1,1,196.0
1769,Private room,1,1,180.0
1770,Private room,1,1,217.0
1771,Private room,1,1,180.0
1772,Private room,1,1,180.0
1773,Private room,1,1,180.0
1774,Private room,1,1,180.0
1775,Private room,1,1,180.0
1776,Private room,1,1,130.0
1777,Private room,1,1,180.0
1778,Private room,1,1,180.0
1779,Private room,1,1,561.0
1780,Private room,1,1,180.0
1781,Private room,2,1,180.0
1782,Private room,2,1,180.0
1783,Entire home/apt,1,1,590.0
1784,Private room,1,1,180.0
1785,Private room,2,1,180.0
1786,Private room,1,1,180.0
1787,Private room,2,1,180.0
1788,Private room,2,1,160.0
1789,Private room,1,1,180.0
1790,Private room,1,1,180.0
1791,Private room,1,1,217.0
1792,Private room,1,1,180.0
1793,Private room,1,1,217.0
1794,Private room,1,1,561.0
1795,Private room,1,1,561.0
1796,Private room,1,1,180.0
1797,Private room,1,1,180.0
1798,Private room,2,1,180.0
1799,Private room,2,1,145.0
1800,Private room,2,1,150.0
1801,Private room,2,1,180.0
1802,Private room,1,1,265.0
1803,Private room,1,1,217.0
1804,Shared room,1,1,230.0
1805,Private room,2,1,180.0
1806,Private room,2,1,180.0
1807,Private room,2,1,180.0
1808,Private room,2,1,180.0
1809,Private room,1,1,180.0
1810,Private room,1,1,180.0
1811,Private room,1,1,180.0
1812,Private room,1,1,180.0
1813,Private room,1,1,180.0
1814,Private room,1,1,180.0
1815,Private room,1,1,180.0
1816,Private room,1,1,180.0
1817,Private room,1,1,180.0
1818,Private room,1,1,180.0
1819,Private room,1,1,180.0
1820,Private room,1,1,180.0
1821,Entire home/apt,1,2,929.0
1822,Private room,1,1,217.0
1823,Private room,1,1,217.0
1824,Private room,1,1,180.0
1825,Private room,1,1,217.0
1826,Private room,2,1,142.0
1827,Private room,2,1,140.0
1828,Private room,2,1,180.0
1829,Private room,1,1,150.0
1830,Private room,1,1,180.0
1831,Private room,1,1,180.0
1832,Private room,1,1,180.0
1833,Entire home/apt,1,1,650.0
1834,Private room,1,1,180.0
1835,Private room,1,1,180.0
1836,Private room,1,1,180.0
1837,Private room,1,1,180.0
1838,Private room,1,1,180.0
1839,Private room,1,1,180.0
1840,Private room,1,1,180.0
1841,Private room,1,1,180.0
1842,Private room,1,1,180.0
1843,Private room,1,1,217.0
1844,Private room,1,1,390.0
1845,Private room,2,1,180.0
