,id,listing_url,neighbourhood,neighbourhood_cleansed,latitude,longitude,accommodates,price,review_scores_value,review_scores_location,review_scores_rating,review_scores_accuracy,review_scores_communication,average_rating,price_per_person,rating_category,price_level,price_range
103,5365324.0,https://www.airbnb.com/rooms/5365324,,Yau Tsim Mong,22.31837,114.17157,2,347,4.0,5.0,5.0,5.0,4.0,4.6,173.5,60,Level 2,"(120.0, 191.75]"
104,5464143.0,https://www.airbnb.com/rooms/5464143,"TSIM SHA TSUI, Kowloon, Hong Kong",Yau Tsim Mong,22.2973,114.17253,2,529,4.57,4.74,4.43,4.53,4.77,4.608,264.5,60,Level 3,"(191.75, 360.625]"
105,5465122.0,https://www.airbnb.com/rooms/5465122,"TSIM SHA TSUI, Kowloon, Hong Kong",Yau Tsim Mong,22.29728,114.17249,2,217591,4.46,4.81,4.33,4.47,4.71,4.556,108795.5,40,Level 5,"(580.0, 250260.0]"
106,5465183.0,https://www.airbnb.com/rooms/5465183,"TSIM SHA TSUI, KOWLOON, Hong Kong",Yau Tsim Mong,22.29728,114.17253,2,372136,4.68,4.84,4.59,4.81,4.89,4.762,186068.0,80,Level 5,"(580.0, 250260.0]"
107,5465211.0,https://www.airbnb.com/rooms/5465211,,Yau Tsim Mong,22.29749,114.17259,2,274863,4.63,4.86,4.55,4.73,4.74,4.702,137431.5,60,Level 5,"(580.0, 250260.0]"
108,5484418.0,https://www.airbnb.com/rooms/5484418,,Yau Tsim Mong,22.29747,114.1726,2,227971,4.53,4.86,4.43,4.67,4.82,4.662000000000001,113985.5,60,Level 5,"(580.0, 250260.0]"
109,5491259.0,https://www.airbnb.com/rooms/5491259,"Hong Kong , Hong Kong Island, Hong Kong",Central & Western,22.28295,114.15344,2,550,4.78,4.91,4.74,4.78,4.86,4.814,275.0,80,Level 3,"(191.75, 360.625]"
110,5535344.0,https://www.airbnb.com/rooms/5535344,"Mei Foo, Kowloon, Hong Kong",Sham Shui Po,22.33797,114.13855,7,1357,4.58,4.93,4.79,4.81,4.84,4.79,193.86,80,Level 3,"(191.75, 360.625]"
111,5678100.0,https://www.airbnb.com/rooms/5678100,"Hong Kong, Hong Kong Island, Hong Kong",Wan Chai,22.27862,114.18712,4,1492,4.61,4.82,4.68,4.82,4.94,4.774,373.0,80,Level 4,"(360.625, 580.0]"
112,5697492.0,https://www.airbnb.com/rooms/5697492,"Hong Kong, New Territories, Hong Kong",Sai Kung,22.30151,114.25075,4,1500,4.82,4.91,4.82,4.91,4.91,4.8740000000000006,375.0,100,Level 4,"(360.625, 580.0]"
113,5839682.0,https://www.airbnb.com/rooms/5839682,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.30572,114.17098,2,360,1.0,1.0,1.0,1.0,1.0,1.0,180.0,20,Level 2,"(120.0, 191.75]"
114,5874991.0,https://www.airbnb.com/rooms/5874991,,Yau Tsim Mong,22.3207,114.17109,4,980,4.44,4.85,4.52,4.81,4.77,4.677999999999999,245.0,60,Level 3,"(191.75, 360.625]"
115,5875014.0,https://www.airbnb.com/rooms/5875014,,Yau Tsim Mong,22.32076,114.17034,2,400,4.67,4.67,4.17,4.17,4.17,4.37,200.0,40,Level 3,"(191.75, 360.625]"
116,5889408.0,https://www.airbnb.com/rooms/5889408,"Tsim Sha Tsui District 尖沙咀, Kowloon, Hong Kong",Yau Tsim Mong,22.30066,114.17346,2,584,4.62,4.78,4.7,4.79,4.89,4.756,292.0,80,Level 3,"(191.75, 360.625]"
117,5946787.0,https://www.airbnb.com/rooms/5946787,"Hong Kong, New Territories, Hong Kong",Islands,22.29371,113.94935,1,375,4.68,4.89,4.68,4.87,4.88,4.8,375.0,80,Level 4,"(360.625, 580.0]"
118,5959060.0,https://www.airbnb.com/rooms/5959060,,Islands,22.26716,113.99594,3,584,4.66,4.82,4.68,4.71,4.91,4.756,194.67,80,Level 3,"(191.75, 360.625]"
119,5971306.0,https://www.airbnb.com/rooms/5971306,,Yau Tsim Mong,22.31884,114.17007,1,188,4.2,4.67,4.06,4.5,4.69,4.424,188.0,40,Level 2,"(120.0, 191.75]"
120,5992273.0,https://www.airbnb.com/rooms/5992273,"Kowloon, Hong Kong",Yau Tsim Mong,22.31676,114.16959,2,444,4.36,4.79,4.29,4.35,4.59,4.476,222.0,40,Level 3,"(191.75, 360.625]"
121,6007711.0,https://www.airbnb.com/rooms/6007711,"香港香港, 九龍, Hong Kong",Yau Tsim Mong,22.32081,114.17025,2,270,4.13,4.56,3.78,4.25,4.67,4.2780000000000005,135.0,40,Level 2,"(120.0, 191.75]"
122,6010103.0,https://www.airbnb.com/rooms/6010103,"Midlevels , Hong Kong Island, Hong Kong",Central & Western,22.2809,114.15135,6,2850,4.76,4.88,4.94,5.0,5.0,4.916,475.0,100,Level 4,"(360.625, 580.0]"
123,6038067.0,https://www.airbnb.com/rooms/6038067,,Yau Tsim Mong,22.29684,114.17579,1,186,4.63,5.0,4.38,4.75,4.5,4.651999999999999,186.0,60,Level 2,"(120.0, 191.75]"
124,6046605.0,https://www.airbnb.com/rooms/6046605,,Yau Tsim Mong,22.29692,114.17044,2,550,4.66,4.91,4.74,4.85,4.72,4.776,275.0,80,Level 3,"(191.75, 360.625]"
125,6051073.0,https://www.airbnb.com/rooms/6051073,,Yau Tsim Mong,22.29864,114.1719,2,446,4.7,4.87,4.62,4.89,4.79,4.774,223.0,80,Level 3,"(191.75, 360.625]"
126,6098189.0,https://www.airbnb.com/rooms/6098189,,Yau Tsim Mong,22.31195,114.16943,8,1429,4.65,4.89,4.69,4.61,4.87,4.742,178.62,80,Level 2,"(120.0, 191.75]"
127,6120946.0,https://www.airbnb.com/rooms/6120946,,Yau Tsim Mong,22.31908,114.1716,2,896,5.0,5.0,5.0,5.0,5.0,5.0,448.0,100,Level 4,"(360.625, 580.0]"
128,6158116.0,https://www.airbnb.com/rooms/6158116,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.30194,114.17242,1,508,4.21,4.75,4.36,4.33,4.68,4.465999999999999,508.0,40,Level 4,"(360.625, 580.0]"
129,6171123.0,https://www.airbnb.com/rooms/6171123,,Yau Tsim Mong,22.29685,114.17232,3,654,4.35,4.95,4.42,4.57,4.62,4.582,218.0,40,Level 3,"(191.75, 360.625]"
130,6238727.0,https://www.airbnb.com/rooms/6238727,"Mong Kok, Kowloon, Hong Kong",Yau Tsim Mong,22.32559,114.16604,11,1509,4.58,4.77,4.6,4.69,4.79,4.686,137.18,60,Level 2,"(120.0, 191.75]"
131,6276711.0,https://www.airbnb.com/rooms/6276711,"Hong Kong, Monkok, Hong Kong",Tsuen Wan,22.39535,114.11003,2,600,3.0,4.0,4.0,3.0,4.0,3.6,300.0,20,Level 3,"(191.75, 360.625]"
132,6348825.0,https://www.airbnb.com/rooms/6348825,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.31681,114.16968,3,555,4.49,4.79,4.41,4.46,4.67,4.564,185.0,40,Level 2,"(120.0, 191.75]"
133,6349168.0,https://www.airbnb.com/rooms/6349168,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.31681,114.16968,2,497,4.59,4.84,4.45,4.63,4.69,4.64,248.5,60,Level 3,"(191.75, 360.625]"
