amenities,price,minnights
"[""Hot water"", ""Fire extinguisher"", ""Hangers"", ""Lock on bedroom door"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Shampoo"", ""Extra pillows and blankets"", ""TV"", ""Hair dryer"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Wifi""]",$220.00,300
"[""Patio or balcony"", ""Hot water kettle"", ""Refrigerator"", ""Hot water"", ""Fire extinguisher"", ""Dining table"", ""Free dryer \u2013 In building"", ""Smoke alarm"", ""Microwave"", ""Private entrance"", ""Outdoor dining area"", ""Self check-in"", ""Smart lock"", ""Washer"", ""Long term stays allowed"", ""Hair dryer"", ""Air conditioning"", ""Dedicated workspace"", ""Wifi""]",$299.00,300
"[""Long term stays allowed"", ""Shampoo"", ""Hair dryer"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Kitchen"", ""Microwave"", ""Iron"", ""Cooking basics"", ""Heating"", ""Dishwasher"", ""Essentials"", ""Washer"", ""Air conditioning"", ""Pets allowed"", ""Patio or balcony"", ""Private entrance"", ""Hangers"", ""Oven"", ""Stove""]","$4,677.00",299
"[""Long term stays allowed"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Wifi""]",$180.00,250
"[""Refrigerator"", ""Hot water"", ""Paid parking off premises"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Shampoo"", ""Hair dryer"", ""Air conditioning"", ""Iron"", ""Wifi""]",$599.00,190
"[""Long term stays allowed"", ""Elevator"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$370.00,182
"[""Long term stays allowed"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$370.00,182
"[""TV"", ""Wifi"", ""Long term stays allowed""]",$410.00,182
"[""Air conditioning"", ""TV"", ""Wifi"", ""Long term stays allowed""]",$310.00,182
"[""TV"", ""Wifi"", ""Long term stays allowed"", ""Kitchen""]",$500.00,182
"[""Air conditioning"", ""TV"", ""Wifi"", ""Long term stays allowed""]",$330.00,182
"[""Air conditioning"", ""TV"", ""Wifi"", ""Long term stays allowed""]",$330.00,182
"[""Long term stays allowed"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$390.00,182
"[""Long term stays allowed"", ""Elevator"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$400.00,182
"[""Long term stays allowed"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$415.00,182
"[""Long term stays allowed"", ""Elevator"", ""TV"", ""Air conditioning"", ""Wifi""]",$410.00,182
"[""Long term stays allowed"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$370.00,182
"[""Air conditioning"", ""TV"", ""Wifi"", ""Long term stays allowed""]",$310.00,182
"[""Long term stays allowed"", ""Washer"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$400.00,182
"[""Air conditioning"", ""TV"", ""Long term stays allowed"", ""Kitchen""]",$370.00,182
"[""Long term stays allowed"", ""TV"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",$415.00,182
"[""First aid kit"", ""Long term stays allowed"", ""Shampoo"", ""Hair dryer"", ""Room-darkening shades"", ""Bed linens"", ""Refrigerator"", ""Dishes and silverware"", ""Kitchen"", ""Host greets you"", ""Waterfront"", ""Hot water"", ""Single level home"", ""Essentials"", ""Washer"", ""TV"", ""Air conditioning"", ""Patio or balcony"", ""Hangers"", ""Extra pillows and blankets"", ""Fire extinguisher""]",$700.00,180
"[""Pets allowed"", ""Kitchen"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Washer"", ""Shampoo"", ""Hair dryer"", ""Air conditioning"", ""Wifi"", ""Smoking allowed"", ""TV with standard cable""]",$468.00,180
"[""Kitchen"", ""Lock on bedroom door"", ""Self check-in"", ""Smoke alarm"", ""Long term stays allowed"", ""Essentials"", ""Washer"", ""Shampoo"", ""Fire extinguisher"", ""Air conditioning"", ""Lockbox"", ""Wifi""]",$350.00,180
"[""Hot water"", ""Paid parking off premises"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Shampoo"", ""Hair dryer"", ""Air conditioning"", ""Iron"", ""Wifi""]",$598.00,180
"[""Hot water"", ""Paid parking off premises"", ""Hangers"", ""Long term stays allowed"", ""Essentials"", ""Elevator"", ""Shampoo"", ""Hair dryer"", ""Air conditioning"", ""Iron"", ""Wifi""]",$499.00,180
